fonte,tabela,conteudo,primeira_competencia,ultima_competencia,n_competencias,carregada_na_base,tabela_duckdb,veiculos_no_corte,cobertura_sobre_universo_pct,nivel_fonte
CVM — Informe Mensal FIDC,tab I,"ativo, carteira, cedentes, circularidade, exclusividade (lentes 3,4)",2013,202607,97.0,True,ativo,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab V,DC com risco: prazos e inadimplência,2013,202607,97.0,True,dc_risco_prazos,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X,classificação SCR das operações e dos devedores,202310,202607,34.0,True,scr,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab II,carteira por segmento econômico,2013,202607,97.0,True,carteira_segmento,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab IV,"patrimônio líquido — base de todos os agregados (lentes 1,2)",2013,202607,97.0,True,pl,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab IX,taxas de desconto e juros — preço de aquisição,2013,202607,97.0,True,taxas,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab VI,DC sem risco: prazos e inadimplência,2013,202607,97.0,True,dc_semrisco_prazos,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab III,passivo e derivativos — identidade contábil Ativo−Passivo=PL,2013,202607,97.0,True,passivo,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab VII,"aquisições, alienações, recompras e substituições",2013,202607,97.0,True,negocios,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_1,número de cotistas por série (lente 6),2013,202607,97.0,True,cotistas_serie,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_2,valor por série de cota — subordinação (lente 6),2013,202607,97.0,True,series_cotas,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_3,rentabilidade mensal por série,2013,202607,97.0,True,rentab_cotas,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_4,"captações, resgates e amortizações",2013,202607,97.0,True,captacoes,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_5,liquidez por prazo,2013,202606,96.0,True,liquidez,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_6,desempenho esperado × realizado por série,2013,202607,97.0,True,desempenho,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab X_7,garantias sobre os direitos creditórios,201911,202607,81.0,True,garantias,4328.0,100.0,1-primária
CVM — Informe Mensal FIDC,tab VIII,concentração dos 25 maiores devedores (lente 5),202501,202607,19.0,True,sacados_conc,2999.0,69.3,1-primária
CVM — Informe Mensal FIDC,tab X_1_1,cotistas por categoria de investidor,201911,202607,81.0,True,cotistas_tipo,4328.0,100.0,1-primária
CVM — Cadastro/Registro fundo-classe-subclasse,registro_*,papéis institucionais e situação cadastral,,,,True,registro_fundo/classe/subclasse,,,1-primária
CVM — Medidas FIE,medidas_mes_fie,validação cruzada do PL (T16),,,,True,—,,,1-primária
CVM — CDA (bloco 2),cda_fi_BLC_2,detentores de cotas na indústria de fundos,,,,True,—,,,1-primária
BCB/SGS série 433,IPCA,deflacionamento da série real,,,,True,ipca,,,1-primária
Receita Federal (base pública CNPJ),minhareceita.org,razão social e CNAE de cedentes,,,,True,—,,,1-primária
Demonstrações financeiras publicadas,DF corporativas,cotas de FIDC em balanço (lente 7),,,,True,—,,,1-primária
DataJud/CNJ,api_publica,recuperação judicial e falência (lente 9),,,,True,—,,,1-primária
