claim_id,afirmacao,valor,periodo,entidade,fonte,url,arquivo_campo,formula,agente,agente_espelho,confianca,status_auditoria
C001,PL total do mercado de FIDCs no corte,R$ 999.5 bi,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_IV / TAB_IV_A_VL_PL,SUM(VL_PL) sobre painel canônico deduplicado,executor,espelho-mercado/carteiras,Confirmado,verificado
C002,Número de veículos informantes no corte,4327,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_IV,COUNT(*) painel canônico,executor,espelho-mercado/carteiras,Confirmado,verificado
C003,Cotas de FIDC detidas por veículos do próprio universo,R$ 161.6 bi,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_I / TAB_I2H+TAB_I2I,SUM(I2H+I2I),executor,espelho-mercado/carteiras,Confirmado,verificado
C004,PL líquido de circularidade,R$ 837.9 bi,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,"tab_IV, tab_I",C001 - C003,executor,espelho-mercado/carteiras,Confirmado,verificado
C005,Crescimento nominal do PL 2013-2026,11.8x,2013-12 a 2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_IV,PL_corte / PL_2013,executor,espelho-mercado/carteiras,Confirmado,verificado
C006,Crescimento real (IPCA) do PL 2013-2026,5.9x,2013-12 a 2026-06,mercado,CVM + BCB/SGS 433,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,serie_mercado_mensal.csv / pl_total_real_jun26,deflator IPCA base jun/26,executor,espelho-mercado/carteiras,Confirmado,verificado
C007,Número de cotistas,461.5 mil,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_X_1 / TAB_X_NR_COTST,SUM por veículo,executor,espelho-mercado/carteiras,Confirmado,verificado
C008,Direitos creditórios com aquisição substancial de risco,R$ 447.6 bi,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_I / TAB_I2A_VL_DIRCRED_RISCO,SUM,executor,espelho-mercado/carteiras,Confirmado,verificado
C009,Direitos creditórios sem aquisição substancial de risco,R$ 262.1 bi,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_I / TAB_I2B_VL_DIRCRED_SEM_RISCO,SUM,executor,espelho-mercado/carteiras,Confirmado,verificado
C010,PL em veículos exclusivos,R$ 153.0 bi,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_I / FUNDO_EXCLUSIVO='S',SUM(VL_PL) filtrado,executor,espelho-mercado/carteiras,Confirmado,verificado
C011,Maior administrador fiduciário por PL,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM — R$ 161.0 bi (16.1%),2026-06,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_I / CNPJ_ADMIN + tab_IV,SUM(VL_PL) por CNPJ_ADMIN,executor,espelho-mercado/carteiras,Confirmado,verificado
C012,Participação dos 5 maiores administradores,52.6%,2026-06,top-5 admins,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,ranking_administradores.csv,Σ share top-5,executor,espelho-mercado/carteiras,Confirmado,verificado
C013,Maior gestor por PL (registro CVM),OLIVEIRA TRUST SERVICER S/A — R$ 76.3 bi,2026-06,OLIVEIRA TRUST SERVICER S/A,CVM Registro fundo/classe + Informe,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,registro_fundo / Gestor,SUM(VL_PL) por gestor do registro ativo,executor,espelho-mercado/carteiras,Confirmado,verificado
C014,Participação dos 5 maiores gestores,24.1%,2026-06,top-5 gestores,CVM,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,ranking_gestores.csv,Σ share top-5,executor,espelho-mercado/carteiras,Confirmado,verificado
C015,Estrutura de capital agregada (sênior/mezanino/subordinada),68.5% / 7.4% / 24.1%,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_X_2 / QT_COTA*VL_COTA,classificação por nome da série,executor,espelho-mercado/carteiras,Confirmado,verificado
C016,Inadimplência total (parcelas vencidas / DC),9.1%,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_V/VI campos B,Σ inad / Σ DC,executor,espelho-mercado/carteiras,Confirmado,verificado
C017,Atraso superior a 180 dias,5.0%,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_V/VI B7..B10,Σ faixas >180d / DC,executor,espelho-mercado/carteiras,Confirmado,verificado
C018,Exposição estimada do maior cedente identificado (Petrobras),R$ 55.4 bi (estimativa-piso),2026-06,Petróleo Brasileiro S.A. (CNPJ 33.000.167/0001-01),CVM Informe Mensal FIDC + Receita Federal (CNPJ),https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,"tab_I / TAB_I2x12_CPF_CNPJ_CEDENTE, PR_CEDENTE",Σ (PR/100 × bucket DC),executor,espelho-mercado/carteiras,Fortemente suportado,verificado
C019,Parcela AA-A na classificação SCR das operações,79.9%,2026-06,mercado (subconjunto SCR),CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_X / TAB_X_SCR_RISCO_OPER_*,"Σ(AA,A)/Σ(todas)",executor,espelho-mercado/carteiras,Confirmado,verificado
C020,Aquisições de DCs em 2025 (giro),R$ 1874 bi,2025,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_VII A1/A2,Σ aquisições no ano,executor,espelho-mercado/carteiras,Confirmado,verificado
C021,Recompras de DCs em 2025,R$ 29.5 bi,2025,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_VII D,Σ recompras,executor,espelho-mercado/carteiras,Confirmado,verificado
C022,Veículos com PL negativo no corte,39,2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,alertas.csv,COUNT PL<0,executor,espelho-mercado/carteiras,Confirmado,verificado
C023,Prazo de adaptação dos FIDCs à RCVM 175,29/11/2024,2024,regulatório,"Resolução CVM 200, art. 134",https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,resol200.pdf p.1,texto normativo,executor,espelho-mercado/carteiras,Confirmado,verificado
C024,RCVM 240 facilita cessão por empresas em RJ,vigente desde 06/03/2026,2026,regulatório,Resolução CVM 240 / notícia oficial CVM,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,gov.br/cvm noticias 2026,texto normativo,executor,espelho-mercado/carteiras,Confirmado,verificado
C025,PL FIDC segundo ANBIMA (validação externa),"R$ 852,7 bi",2026-06,mercado (perímetro ANBIMA),"ANBIMA (boletim, via imprensa)",https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,T14,"divergência +17,2% documentada",executor,espelho-mercado/carteiras,Conflitante (perímetro),verificado
C026,Reconciliação Informe x Medidas CVM/FIE (interseção),dif 0.000000; 4314 CNPJs; 99.0% do PL,2026-06,mercado,CVM — Medidas FIE + Informe Mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,reconciliacao_medidas_fie.csv,Σ PL informe vs Σ PL medidas na interseção de CNPJs,executor,espelho-mercado/carteiras,Confirmado,verificado
C027,Provisões/redução de valor sobre inadimplência,R$ 63.3 bi (97.9% da inadimplência),2026-06,mercado,CVM Informe Mensal FIDC,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,tab_I / TAB_I2A11+I2B11,Σ redução / Σ parcelas inadimplentes,executor,espelho-mercado/carteiras,Confirmado,verificado
C028,Cotas subordinadas de FIDC no balanço do Banco Honda,"R$ 243,173 mi (Auto Honda 179.943 + Moto Honda 63.230, R$ mil), VJR nível 1",2025-06-30,Banco Honda S.A. (CNPJ 03.634.220/0001-65),"DF semestral 30/06/2025, notas 04 e 8c (bancohonda.com.br; PDF no manifesto)",https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,df_banco_honda_semestral_1S2025.pdf,leitura direta da nota explicativa,executor,espelho-mercado/carteiras,Confirmado,verificado
