alerta,DENOM_SOCIAL,CNPJ,DT_COMPTC,valor
Ativo > 5x PL (possível erro de preenchimento),PRASS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II,11198684000102,2026-06-30,1300357390913.82
Ativo > 5x PL (possível erro de preenchimento),KRISPY  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59385783000111,2026-06-30,5061364974.62
Ativo > 5x PL (possível erro de preenchimento),SSA FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,45703190000141,2026-06-30,1102655876.34
Ativo > 5x PL (possível erro de preenchimento),DUBLIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,31544287000144,2026-06-30,606239896.59
Ativo > 5x PL (possível erro de preenchimento),PLM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,64076604000102,2026-06-30,601008502.01
Ativo > 5x PL (possível erro de preenchimento),SARAFINA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,43809819000107,2026-06-30,473255824.57
Ativo > 5x PL (possível erro de preenchimento),GUARDIAN MULTI CONSIGNADO VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,54065359000176,2026-06-30,400465413.76
Ativo > 5x PL (possível erro de preenchimento),WIZARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51124933000121,2026-06-30,288378830.41
Ativo > 5x PL (possível erro de preenchimento),NICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,49788461000160,2026-06-30,186238533.78
Ativo > 5x PL (possível erro de preenchimento),AGROSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,33953549000150,2026-06-30,177877697.61
Ativo > 5x PL (possível erro de preenchimento),AFARE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,26689672000140,2026-06-30,110400190.62
Ativo > 5x PL (possível erro de preenchimento),VULCANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54276269000124,2026-06-30,91373448.54
Ativo > 5x PL (possível erro de preenchimento),LATACHE II DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,19476304000158,2026-06-30,67983605.17
Ativo > 5x PL (possível erro de preenchimento),AMAZON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS - RESPONSABILIDADE LIMITADA,62348002000123,2026-06-30,63831595.95
Ativo > 5x PL (possível erro de preenchimento),PETUNIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50990958000145,2026-06-30,58826103.39
Ativo > 5x PL (possível erro de preenchimento),FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGORA TELECOM,29242908000193,2026-06-30,36937599.38
Ativo > 5x PL (possível erro de preenchimento),PAZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,55790739000136,2026-06-30,35079357.93
Ativo > 5x PL (possível erro de preenchimento),FUNDESTAP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,64191286000112,2026-06-30,29254492.95
Ativo > 5x PL (possível erro de preenchimento),INTERSECTOR CRÉDITO ESTUDANTIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,20867468000195,2026-06-30,18313168.61
PL negativo,ADIANTA PLANTÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - RESPONSABILIDADE LI,63887027000168,2026-06-30,-2140.96
PL negativo,NACIONAL FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,41240074000182,2026-06-30,-15614.27
PL negativo,3R - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,47388724000118,2026-06-30,-28327.24
PL negativo,RIO CLARO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,24069420000192,2026-06-30,-31496.6
PL negativo,LEGALCERT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAO - PADRONIZADOS,45899684000143,2026-06-30,-34713.39
PL negativo,RR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,58528925000190,2026-06-30,-43551.81
PL negativo,PACUÍBA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61529519000156,2026-06-30,-64596.22
PL negativo,BJ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56746022000150,2026-06-30,-72305.93
PL negativo,REAG SPORTAINMENT CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,52842504000152,2026-06-30,-72347.79
PL negativo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VEXOR - RESPONSABILIDADE LIMITADA,63547404000110,2026-06-30,-87864.34
PL negativo,ARISTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45101831000198,2026-06-30,-108121.88
PL negativo,"INTI ENERGIAS DO BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,",59201781000125,2026-06-30,-120041.95
PL negativo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LEIRIA - RESPONSABILIDADE LIMITADA,60261285000146,2026-06-30,-120947.21
PL negativo,CANAL 26 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,30283468000100,2026-06-30,-123478.24
PL negativo,AUER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62184290000128,2026-06-30,-214572.1
PL negativo,CB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,58195014000198,2026-06-30,-219460.37
PL negativo,CÉLERE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62271049000136,2026-06-30,-253260.91
PL negativo,FEEDER CB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,58041846000150,2026-06-30,-260481.74
PL negativo,FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,12565143000120,2026-06-30,-298843.23
PL negativo,FC5 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA,12660468000191,2026-06-30,-301212.88
PL negativo,BRASIL MICROCRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36083634000100,2026-06-30,-379375.23
PL negativo,BRS INVEST ASSETS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54755924000127,2026-06-30,-386704.8
PL negativo,MIXTEL MULTI FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS,43104380000117,2026-06-30,-485299.08
PL negativo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS ALVARINHO,48953684000172,2026-06-30,-486226.81
PL negativo,FC4 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,12660458000156,2026-06-30,-539511.02
PL negativo,FC6 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,12674257000108,2026-06-30,-551667.6
PL negativo,FC3 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA,12660462000114,2026-06-30,-650516.73
PL negativo,JEITTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36017588000133,2026-06-30,-667710.98
PL negativo,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADING I,45938195000153,2026-06-30,-669555.74
PL negativo,VANGUARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,39273613000138,2026-06-30,-694042.53
PL negativo,WELLESLEY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,32274625000138,2026-06-30,-1436261.01
PL negativo,SERENNA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62124934000192,2026-06-30,-1874706.02
PL negativo,FC8 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA,12674251000130,2026-06-30,-2770592.08
PL negativo,ONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,22588302000165,2026-06-30,-3171956.18
PL negativo,CHELSEA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,61289212000125,2026-06-30,-3224783.55
PL negativo,FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,11827500000118,2026-06-30,-4390547.59
PL negativo,FM1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-  RESPONSABILIDADE LIMITADA,11902354000148,2026-06-30,-4891059.02
PL negativo,CORAL FIDC MULTISETORIAL,11351413000137,2026-06-30,-24467457.04
PL negativo,INCENTIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL II,13344834000166,2026-06-30,-26083273.04
Parcelas inadimplentes > 30% dos DC (com risco),FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,12428086000137,2026-06-30,1.4324649998710755
Parcelas inadimplentes > 30% dos DC (com risco),MUNDO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS-RESPONSABILIDADE LIMITADA,27984265000128,2026-06-30,1.0494932015444767
Parcelas inadimplentes > 30% dos DC (com risco),ALLCON PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS-RESP LIMITADA,27984240000124,2026-06-30,0.9990493414951253
Parcelas inadimplentes > 30% dos DC (com risco),ARTESANAL CP AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,47463403000130,2026-06-30,0.6313516366524068
Parcelas inadimplentes > 30% dos DC (com risco),GRAN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,28880400000158,2026-06-30,0.5477979368276717
Parcelas inadimplentes > 30% dos DC (com risco),AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,22358482000199,2026-06-30,0.5170731822392496
Parcelas inadimplentes > 30% dos DC (com risco),MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41970012000126,2026-06-30,0.4710831124862483
Parcelas inadimplentes > 30% dos DC (com risco),SIMONETTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42556229000157,2026-06-30,0.362941125212884
Parcelas inadimplentes > 30% dos DC (com risco),SPARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,39663988000104,2026-06-30,0.35188156615908234
Parcelas inadimplentes > 30% dos DC (com risco),ARTESANAL CDC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,47466676000139,2026-06-30,0.3026113904876482
