ano,captacoes,resgates,amortizacoes,captacao_liquida,n_ops_descartadas,valor_descartado
2013,96761904865.08005,93866513594.92998,12472128107.170004,-9576736837.019934,3,4770277507.190001
2014,179715741702.52975,163887827366.86026,11234462467.540022,4593451868.129473,1,138826784784.02
2015,167952048591.87976,162980684358.0202,8259605106.040016,-3288240872.180458,0,
2016,178239348383.12997,158351889254.07004,11082894598.330017,8804564530.72992,0,
2017,200715062333.2303,194813733716.2903,8402299589.579979,-2500970972.640007,0,
2018,209228403571.31998,166117009691.82993,9152747829.740005,33958646049.750046,2,154236579577.05
2019,359959653977.89984,278205194426.8801,12814053711.079983,68940405839.93973,15,43983431363700.0
2020,222859653488.97012,223157694571.3,24797563873.141975,-25095604955.47184,18,741481221424275.9
2021,367281922688.8697,260433348415.78003,3110269943.905862,103738304329.18379,5,145112552176190.06
2022,464691199362.07983,419950477439.7495,395112631.41588116,44345609290.914444,6,13592502507.02
2023,402368318232.6769,342755169725.2809,1363582649.511227,58249565857.884766,3,370004766237102.6
2024,585579297072.7207,311172301028.9226,1315349378.6443048,273091646665.15378,15,22013601240.81
2025,465006514142.2045,282418807874.6284,2872056934.6431007,179715649332.933,73,126146212419.60213
2026,173780626422.28766,45331237927.189224,443545541.32308006,128005842953.77536,6,24586153541.96
