DT_COMPTC,campo,valor,segmento
2013-12-31,TAB_II_A_VL_INDUST,31840797108.710007,Industrial
2014-12-31,TAB_II_A_VL_INDUST,26942952037.55002,Industrial
2015-12-31,TAB_II_A_VL_INDUST,29238348976.48002,Industrial
2016-12-31,TAB_II_A_VL_INDUST,30695359882.42001,Industrial
2017-12-31,TAB_II_A_VL_INDUST,32091877700.96999,Industrial
2018-12-31,TAB_II_A_VL_INDUST,30523853818.559998,Industrial
2019-12-31,TAB_II_A_VL_INDUST,67871887228.71,Industrial
2020-12-31,TAB_II_A_VL_INDUST,16035929265.27999,Industrial
2021-12-31,TAB_II_A_VL_INDUST,64979427395.979996,Industrial
2022-12-31,TAB_II_A_VL_INDUST,45129976726.69001,Industrial
2023-12-31,TAB_II_A_VL_INDUST,40100868467.54002,Industrial
2024-12-31,TAB_II_A_VL_INDUST,97412350660.30002,Industrial
2025-12-31,TAB_II_A_VL_INDUST,78616470419.61009,Industrial
2026-06-30,TAB_II_A_VL_INDUST,77323926716.40993,Industrial
2013-12-31,TAB_II_B_VL_IMOBIL,281489252.09999996,Mercado Imobiliário
2014-12-31,TAB_II_B_VL_IMOBIL,364539467.1,Mercado Imobiliário
2015-12-31,TAB_II_B_VL_IMOBIL,423636715.9,Mercado Imobiliário
2016-12-31,TAB_II_B_VL_IMOBIL,185159317.92999998,Mercado Imobiliário
2017-12-31,TAB_II_B_VL_IMOBIL,256023578.0,Mercado Imobiliário
2018-12-31,TAB_II_B_VL_IMOBIL,571456824.55,Mercado Imobiliário
2019-12-31,TAB_II_B_VL_IMOBIL,2136944918.3000004,Mercado Imobiliário
2020-12-31,TAB_II_B_VL_IMOBIL,1947408873.9099998,Mercado Imobiliário
2021-12-31,TAB_II_B_VL_IMOBIL,2731062951.69,Mercado Imobiliário
2022-12-31,TAB_II_B_VL_IMOBIL,2152278948.0800004,Mercado Imobiliário
2023-12-31,TAB_II_B_VL_IMOBIL,1540325269.21,Mercado Imobiliário
2024-12-31,TAB_II_B_VL_IMOBIL,1699166735.24,Mercado Imobiliário
2025-12-31,TAB_II_B_VL_IMOBIL,2780050858.4800005,Mercado Imobiliário
2026-06-30,TAB_II_B_VL_IMOBIL,3058616644.1800013,Mercado Imobiliário
2013-12-31,TAB_II_C1_VL_COMERC,6913656441.370002,Comercial
2014-12-31,TAB_II_C1_VL_COMERC,8951377007.810003,Comercial
2015-12-31,TAB_II_C1_VL_COMERC,11431542906.760004,Comercial
2016-12-31,TAB_II_C1_VL_COMERC,15637035272.369991,Comercial
2017-12-31,TAB_II_C1_VL_COMERC,18038032973.649998,Comercial
2018-12-31,TAB_II_C1_VL_COMERC,20063443288.360004,Comercial
2019-12-31,TAB_II_C1_VL_COMERC,37467360922.33,Comercial
2020-12-31,TAB_II_C1_VL_COMERC,28897544522.67002,Comercial
2021-12-31,TAB_II_C1_VL_COMERC,61407656646.58007,Comercial
2022-12-31,TAB_II_C1_VL_COMERC,83824478231.56998,Comercial
