caso_id,entidade_principal,cnpj_se_conhecido,papel,tipo_evento,data_evento,descricao_irregularidade,status_processual,fonte_url,nivel_evidencia
CR001,Florim Consultoria Ltda. (anteriormente Silverado Gestao e Investimentos Ltda.),nao localizado em fonte publica consultada,gestor,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Acusada pela SIN da pratica de operacao fraudulenta no mercado de valores mobiliarios (ICVM 08/1979, item II 'c', vedada pelo item I) na gestao do FIDC Multissetorial Silverado Maximum, do FIDC Multissetorial Silverado Maximum II e do FIDC Multissetorial Silverado - Fornecedores do Sistema Petrobras. A area tecnica apontou relacionamento societario e de enderecos entre cedentes e entre cedentes e a gestora, duplicatas nao reconhecidas por sacados em circularizacao e inadimplencia historica muito baixa ate a retirada do rating. O Colegiado decidiu pela condenacao, com multa de R$ 244.979.397,58.",condenacao (decisao de 1a instancia administrativa; cabe recurso ao CRSFN com efeito suspensivo),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR002,Diretor responsavel pela administracao de carteiras da gestora (pessoa natural - nome nao reproduzido no painel publico),nao aplicavel (pessoa natural),gestor,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Acusado da pratica de operacao fraudulenta no mercado de valores mobiliarios (ICVM 08/1979) na gestao dos tres FIDC Silverado. Condenado a multa de R$ 244.979.397,58. Nome integral consta da decisao publica da CVM referenciada na fonte.",condenacao (decisao de 1a instancia administrativa; cabe recurso ao CRSFN com efeito suspensivo),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR003,BNY Mellon Servicos Financeiros DTVM S.A.,nao localizado em fonte publica consultada,administrador,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Na qualidade de administradora fiduciaria do FIDC Maximum, acusada de infracao aos arts. 34 II e 39 par.4 c/c 39 II e III da ICVM 356/2001 por (i) nao possuir e nao executar procedimentos que permitissem identificar as irregularidades na aquisicao de direitos creditorios, (ii) nao adotar medidas suficientes de supervisao do gestor e (iii) nao possuir controles sobre limites de concentracao por cedente. Condenada a tres multas de R$ 400.000,00, totalizando R$ 1.200.000,00. Absolvida da imputacao relativa a delegacao de autorizacao para movimentacao extraordinaria de contas.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR004,Gradual CCTVM S.A. - Massa Falida,nao localizado em fonte publica consultada,administrador,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Na qualidade de administradora fiduciaria do FIDC Maximum II, acusada de infracao aos arts. 8 par.3 I, 34 II e 39 par.4 c/c 39 II e III da ICVM 356/2001 por ausencia de procedimentos basicos, supervisao insuficiente incluindo falta de verificacao de lastro em tres trimestres, ausencia de controles de concentracao por cedente e informacoes incompletas sobre limites de concentracao nos demonstrativos trimestrais. Multas somando R$ 1.700.000,00. Absolvida da imputacao de delegacao de autorizacao para movimentacao de contas do fundo. A entidade ja estava em liquidacao judicial desde 22/05/2018 e teve falencia decretada em 07/06/2019.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR005,Santander Caceis Brasil DTVM S.A. (denominada Santander Securities Services Brasil DTVM S.A. a epoca dos fatos),nao localizado em fonte publica consultada,administrador e custodiante,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Como administradora do FIDC Petro e custodiante do FIDC Maximum II e do FIDC Petro, acusada de infracao aos arts. 8 par.3 I, 34 II, 38 II III e IV e 39 par.4 c/c 39 II da ICVM 356/2001 e ao art. 12 I da ICVM 542/2013. Condenacoes por ausencia de procedimentos, ausencia de controles de concentracao, divulgacao incompleta e, na funcao de custodiante, por nao divulgar relatorios de verificacao de lastro em tres trimestres e por permitir que o gestor movimentasse contas dos fundos. Total de R$ 2.720.000,00. Absolvida das imputacoes de verificacao de lastro inadequada e de autorizacao de movimentacao de contas em parte das acusacoes.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR006,Deutsche Bank S.A. - Banco Alemao,nao localizado em fonte publica consultada,custodiante,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Na qualidade de custodiante do FIDC Maximum, acusado de infracao ao art. 38 II e IV da ICVM 356/2001 e ao art. 12 I da ICVM 542/2013. Condenado a multa de R$ 500.000,00 por permitir que o gestor controlasse a movimentacao de conta do fundo. Absolvido da imputacao de verificacao de lastro inadequada.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR007,Diretor responsavel pela administracao de carteiras do administrador do FIDC Maximum (pessoa natural - nome nao reproduzido no painel publico),nao aplicavel (pessoa natural),administrador,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Condenado a tres multas de R$ 170.000,00 (total R$ 510.000,00) por ausencia de procedimentos, supervisao insuficiente e ausencia de controles de concentracao. Absolvido da imputacao relativa a delegacao de autorizacao para movimentacao extraordinaria de contas.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR008,Diretora responsavel pela administracao de carteiras do administrador do FIDC Maximum II (pessoa natural - nome nao reproduzido no painel publico),nao aplicavel (pessoa natural),administrador,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Condenada a multas somando R$ 850.000,00 por ausencia de procedimentos, supervisao insuficiente com ausencia de verificacao trimestral de lastro em tres trimestres, ausencia de controles de concentracao e divulgacao incompleta. Absolvida da imputacao de delegacao de autorizacao para movimentacao de contas.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR009,Diretor responsavel pela administracao de carteiras do administrador do FIDC Petro (pessoa natural - nome nao reproduzido no painel publico),nao aplicavel (pessoa natural),administrador,PAS,2024-10-15,"PAS CVM 19957.006858/2019-25. Condenado a tres multas de R$ 170.000,00 (total R$ 510.000,00) por ausencia de procedimentos, ausencia de controles de concentracao e divulgacao incompleta. Absolvido da imputacao relativa a autorizacao de movimentacao de contas.",condenacao parcial com absolvicao parcial (1a instancia administrativa; cabe recurso ao CRSFN),https://www.gov.br/cvm/pt-br/assuntos/noticias/2024/cvm-multa-em-quase-meio-bilhao-de-reais-acusados-em-processo-envolvendo-operacao-fraudulenta-na-gestao-de-fidcs,fato confirmado por fonte primaria
CR010,"Acusados do PAS CVM 19957.006858/2019-25 (gestora, seu diretor, Santander Securities e seu diretor)",nao aplicavel,administrador e gestor,termo de compromisso,2021-03-16,"PAS CVM 19957.006858/2019-25. Propostas de termo de compromisso apresentadas pela gestora (R$ 90.000), por seu diretor (R$ 60.000), pela Santander Securities DTVM (R$ 300.000) e por seu diretor (R$ 100.000). O Colegiado da CVM rejeitou, por unanimidade, todas as propostas.",decisao (proposta de termo de compromisso rejeitada; processo prosseguiu para julgamento),https://conteudo.cvm.gov.br/decisoes/2021/20210316_R1/20210316_D1952.html,fato confirmado por fonte primaria
