nome_admin,cnpj_admin,n_veiculos_jun,pl_jun,n_ausentes,pl_ausente,pct_veiculos_ausentes,pct_pl_ausente
CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,84,51879157262.539986,83,51853721263.49999,0.9880952380952381,0.9995097067804847
QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,819,141693781732.04996,18,7690459878.67,0.02197802197802198,0.05427521084314797
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,44,5596267245.100001,42,5586783182.530002,0.9545454545454546,0.9983052877651074
"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112,16,6736020234.04,8,4189656549.660001,0.5,0.6219780232380937
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,44782130000107,69,2453235246.6400003,48,1960464383.8900003,0.6956521739130435,0.7991342805689309
INTRAG DTVM LTDA.,62418140000131,41,29686332813.989994,1,771314631.91,0.024390243902439025,0.02598214595056045
BANCO GENIAL S.A.,45246410000155,54,20886401729.499996,1,388134717.51,0.018518518518518517,0.018583129949176345
OLIVEIRA TRUST DTVM S.A.,36113876000191,159,99918337330.76001,2,289010138.25,0.012578616352201259,0.002892463445356269
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,166,13593285481.76999,2,213583154.94,0.012048192771084338,0.015712401187074104
APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,36864992000142,43,13281335095.269995,1,140422725.77,0.023255813953488372,0.010572937491804575
PLANNER CORRETORA DE VALORES S.A.,00806535000154,182,13407397579.160006,6,76304456.97000001,0.03296703296703297,0.005691220575766696
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,37678915000160,87,10212770627.099998,1,75967410.27,0.011494252873563218,0.007438472187793723
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,45854066000187,22,710118936.5000001,2,49217759.95999999,0.09090909090909091,0.0693091782660833
QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,62264924000152,42,4896036385.5,2,19086524.4,0.047619047619047616,0.0038983624501905774
APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13486793000142,141,22495210763.969997,2,10862068.17,0.014184397163120567,0.0004828613647575819
GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,86,31786289246.710014,1,10836566.83,0.011627906976744186,0.00034091953124479985
AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40434681000110,97,2180684829.2499986,7,0.0,0.07216494845360824,0.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16695922000109,299,16903306042.13001,1,0.0,0.0033444816053511705,0.0
RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,18,3924659618.2,4,-1790083.8599999999,0.2222222222222222,-0.00045611187571497
BANCO DAYCOVAL S.A.,62232889000190,417,61813547341.43,0,,0.0,
BFL ADMINISTRAÇÃO DE RECURSOS LTDA,14717397000141,1,38948249.11,0,,0.0,
LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40768766000135,4,182189241.85,0,,0.0,
INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,18945670000146,9,1006891082.26,0,,0.0,
FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03317692000194,66,17830934662.129997,0,,0.0,
CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,47215387000167,80,7357368204.340005,0,,0.0,
SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03502968000104,1,511741022.82,0,,0.0,
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39669186000101,131,25127596349.12,0,,0.0,
S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,15,8828691758.24,0,,0.0,
BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,437,160988824072.20996,0,,0.0,
INTRA INVESTIMENTOS DTVM LTDA,15489568000195,24,453054429.6399999,0,,0.0,
CAIXA ECONOMICA FEDERAL,00360305000104,4,1891102410.2800002,0,,0.0,
BANCO J. SAFRA S.A.,03017677000120,19,5990325572.939999,0,,0.0,
BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,58006471000197,15,581348253.01,0,,0.0,
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,40,11355494189.79,0,,0.0,
ATIVA INVESTIMENTOS S.A. C.T.C.V.,33775974000104,4,127486114.25,0,,0.0,
MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,41592532000142,12,341890302.59000003,0,,0.0,
BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,02201501000161,46,13354420783.080004,0,,0.0,
VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,48967968000118,51,16003105666.349998,0,,0.0,
DILLON S/A DTVM,33851064000155,2,67228708.26,0,,0.0,
INTEGRAL ACCESS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,34978626000199,4,914500052.52,0,,0.0,
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188,185,17814393021.039997,0,,0.0,
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,12063256000127,82,3282840562.209998,0,,0.0,
BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,47,52415686740.45,0,,0.0,
BANCO FINAXIS S.A.,11758741000152,17,5421187786.33,0,,0.0,
BB GESTAO DE RECURSOS DTVM S.A,30822936000169,3,61314429105.2,0,,0.0,
BANCO BNP PARIBAS BRASIL S/A,01522368000182,1,79700375.04,0,,0.0,
OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13673855000125,21,2359941749.2400002,0,,0.0,
BR-CAPITAL DTVM S.A.,44077014000189,1,641969978.44,0,,0.0,
FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,36266751000100,38,1311298435.59,0,,0.0,
XP INVESTIMENTOS CCTVM S.A.,02332886000104,48,18861582181.739998,0,,0.0,
LASTRO RDV DTVM LTDA,71590442000183,8,656288010.8299999,0,,0.0,
SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598000167,25,8330793482.69,0,,0.0,
