CNPJ,DENOM_SOCIAL,TP_FUNDO_CLASSE,VL_PL,cnpj_admin,ADMIN,dc_total,situacao_registro
36886028000115,ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Classe,8843985004.68,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,8857852576.13,Em Funcionamento Normal
53263761000100,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,8458862801.73,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,4372111313.14,Em Funcionamento Normal
53216449000158,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,Classe,6390451812.87,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,5818229352.77,Em Funcionamento Normal
42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,Classe,5751418460.99,62285390000140,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,5584036253.47,Em Funcionamento Normal
51152102000163,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS,Classe,3967152720.03,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,3945760299.59,Em Funcionamento Normal
51079269000146,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,3058107297.6,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2618802204.14,Em Funcionamento Normal
55344996000144,SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Classe,2711197599.31,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1734003478.96,Em Funcionamento Normal
57719370000109,RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,2140596574.92,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2143000000.0,Em Funcionamento Normal
41776416000183,RHODONITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Classe,1881917745.61,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,3421710.0,Em Funcionamento Normal
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,Classe,1865513705.6,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,978401838.5,Em Funcionamento Normal
