mes,mes_ant,n_ant,n_mes,n_sumidos,pl_sumidos,pct_sumidos,pl_ant,pct_pl_sumido
2024-02-29,2024-01-31,2425,2447,18,181881399.22000003,0.007422680412371134,494413530821.26965,0.00036787302102731103
2024-03-31,2024-02-29,2447,2490,16,3004267573.4399996,0.006538618716796077,494426366183.2995,0.006076268943000144
2024-04-30,2024-03-31,2490,2538,26,2302088541.52,0.010441767068273093,501222302277.3301,0.004592949138656318
2024-05-31,2024-04-30,2538,2612,26,1150955031.2900002,0.01024428684003152,543418901727.01013,0.0021179885860285914
2024-06-30,2024-05-31,2612,2682,22,1439781430.74,0.008422664624808576,550993351468.9895,0.0026130649796434658
2024-07-31,2024-06-30,2682,2744,25,376401915.19,0.009321401938851604,555720900577.7095,0.0006773218621050688
2024-08-31,2024-07-31,2744,2810,16,504949066.11,0.0058309037900874635,610275418185.8611,0.0008274117735415919
2024-09-30,2024-08-31,2810,2881,13,842798166.4200002,0.004626334519572953,623507211137.1804,0.0013517055638905397
2024-10-31,2024-09-30,2881,3007,20,3572265546.0400004,0.006942034015966678,638307145882.9902,0.005596468046896724
2024-11-30,2024-10-31,3007,3061,30,11075452113.12,0.009976720984369804,678424018006.28,0.016325265349048237
2024-12-31,2024-11-30,3061,3140,28,652417417.71,0.00914733747141457,695585065076.7601,0.0009379405200972847
2025-01-31,2024-12-31,3140,3195,37,450563621.7700001,0.01178343949044586,731837114451.0808,0.0006156610711222924
2025-02-28,2025-01-31,3195,3257,13,1657933841.3300002,0.004068857589984351,734755924722.7598,0.002256441609444084
2025-03-31,2025-02-28,3257,3319,20,494136114.4,0.006140620202640466,744450094448.0005,0.0006637598921474987
2025-04-30,2025-03-31,3319,3391,26,496748256.78000003,0.00783368484483278,752298725521.76,0.0006603071890564192
2025-05-31,2025-04-30,3391,3467,32,822930264.8299999,0.009436744323208493,768380049913.8909,0.0010709937939203684
2025-06-30,2025-05-31,3467,3592,31,3200212107.01,0.008941447937698297,785416822451.8405,0.004074539805526292
2025-07-31,2025-06-30,3592,3647,54,3509842424.35,0.015033407572383074,857924084454.6998,0.004091087414314602
2025-08-31,2025-07-31,3647,3717,25,1278722877.03,0.006854949273375377,869813281216.2307,0.0014701119247593054
2025-09-30,2025-08-31,3717,3758,56,6194124903.370002,0.015065913370998116,876494622995.9397,0.007066928582171913
2025-10-31,2025-09-30,3758,3829,41,16089934341.02,0.010910058541777541,887180603637.04,0.01813603033594122
2025-11-30,2025-10-31,3829,3884,33,768189602.25,0.008618438234525986,892241605873.2214,0.0008609659056396346
2025-12-31,2025-11-30,3884,4013,58,4215450218.72,0.014933058702368692,905552158050.22,0.004655115866320115
2026-01-31,2025-12-31,4013,4074,29,23981223832.71,0.00722651383005233,919272959225.6404,0.02608716333058556
2026-02-28,2026-01-31,4074,4103,44,8887976675.79,0.010800196367206676,910317119933.9888,0.009763604881378599
2026-03-31,2026-02-28,4103,4154,49,11698798185.679998,0.011942481111381915,907119298550.9099,0.012896647887844965
2026-04-30,2026-03-31,4154,4228,27,1074066711.1299999,0.006499759268175253,923400425872.9005,0.0011631646261313698
2026-05-31,2026-04-30,4228,4261,37,7997380592.23,0.008751182592242194,964923924151.37,0.008288094420773663
2026-06-30,2026-05-31,4261,4327,33,1062463529.63,0.0077446608777282325,972904981962.4386,0.0010920527177144407
2026-07-31,2026-06-30,4327,4206,232,73324035329.37,0.05361682458978507,999497428095.1998,0.07336090445886174
