,n_cotistas,classe,categoria
TAB_X_NR_COTST_SENIOR_PF,81980.0,senior,PF
TAB_X_NR_COTST_SENIOR_PJ_NAO_FINANC,4008.0,senior,PJ_NAO_FINANC
TAB_X_NR_COTST_SENIOR_BANCO,599.0,senior,BANCO
TAB_X_NR_COTST_SENIOR_CORRETORA_DISTRIB,14127.0,senior,CORRETORA_DISTRIB
TAB_X_NR_COTST_SENIOR_PJ_FINANC,177.0,senior,PJ_FINANC
TAB_X_NR_COTST_SENIOR_INVNR,65.0,senior,INVNR
TAB_X_NR_COTST_SENIOR_EAPC,5.0,senior,EAPC
TAB_X_NR_COTST_SENIOR_EFPC,140.0,senior,EFPC
TAB_X_NR_COTST_SENIOR_RPPS,153.0,senior,RPPS
TAB_X_NR_COTST_SENIOR_SEGUR,11.0,senior,SEGUR
TAB_X_NR_COTST_SENIOR_CAPITALIZ,9.0,senior,CAPITALIZ
TAB_X_NR_COTST_SENIOR_COTA_FIDC,1248.0,senior,COTA_FIDC
TAB_X_NR_COTST_SENIOR_FII,43.0,senior,FII
TAB_X_NR_COTST_SENIOR_OUTRO_FI,182995.0,senior,OUTRO_FI
TAB_X_NR_COTST_SENIOR_CLUBE,45.0,senior,CLUBE
TAB_X_NR_COTST_SENIOR_OUTRO,51320.0,senior,OUTRO
TAB_X_NR_COTST_SUBORD_PF,12785.0,subordinada,PF
TAB_X_NR_COTST_SUBORD_PJ_NAO_FINANC,1837.0,subordinada,PJ_NAO_FINANC
TAB_X_NR_COTST_SUBORD_BANCO,1209.0,subordinada,BANCO
TAB_X_NR_COTST_SUBORD_CORRETORA_DISTRIB,27245.0,subordinada,CORRETORA_DISTRIB
TAB_X_NR_COTST_SUBORD_PJ_FINANC,110.0,subordinada,PJ_FINANC
TAB_X_NR_COTST_SUBORD_INVNR,83.0,subordinada,INVNR
TAB_X_NR_COTST_SUBORD_EAPC,0.0,subordinada,EAPC
TAB_X_NR_COTST_SUBORD_EFPC,34.0,subordinada,EFPC
TAB_X_NR_COTST_SUBORD_RPPS,3.0,subordinada,RPPS
TAB_X_NR_COTST_SUBORD_SEGUR,4.0,subordinada,SEGUR
TAB_X_NR_COTST_SUBORD_CAPITALIZ,3.0,subordinada,CAPITALIZ
TAB_X_NR_COTST_SUBORD_COTA_FIDC,680.0,subordinada,COTA_FIDC
TAB_X_NR_COTST_SUBORD_FII,14.0,subordinada,FII
TAB_X_NR_COTST_SUBORD_OUTRO_FI,19316.0,subordinada,OUTRO_FI
TAB_X_NR_COTST_SUBORD_CLUBE,13.0,subordinada,CLUBE
TAB_X_NR_COTST_SUBORD_OUTRO,61260.0,subordinada,OUTRO
