CNPJ,DENOM_SOCIAL,serie,esperado,realizado,gap,VL_PL
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,Subclasse Senior Subclasse 1,0.0,1.48,1.48,1666972490.26
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,Subclasse Subordinada  |,0.0,0.0,0.0,1666972490.26
06018364000185,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM EM LIQUIDAÇÃO,Subclasse Senior Série 1,0.88,0.88,0.0,47833.33
06081379000198,KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Subclasse Senior Subclasse 1,1.12,-0.69,-1.81,5770286.6
06081379000198,KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Subclasse Subordinada  |,0.0,0.0,0.0,5770286.6
06182371000118,FOR-TE FIDC,Subclasse Senior Série 1,1.23,1.23,0.0,977835561.91
06182371000118,FOR-TE FIDC,Subclasse Subordinada Subordinada 1 |,0.0,4.34,4.34,977835561.91
07084253000130,MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Subclasse Senior,0.0,0.0,0.0,65993813.34
07084253000130,MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Subclasse Subordinada Subordinada 1 |,0.0,0.85,0.85,65993813.34
07383363000100,RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,Subclasse Senior Série 1,1.23,1.23,0.0,116288616.65
07383363000100,RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,Subclasse Subordinada Mezanino 1 | Série 1,1.35,1.35,0.0,116288616.65
07383363000100,RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,Subclasse Subordinada Subordinada 1 |,-13.67,-13.67,0.0,116288616.65
07507899000182,GP FIDC FCVS,Subclasse Senior,0.0,0.0,0.0,4812296.83
