cnpj_investidor,DENOM_SOCIAL,vl_cotas_fidc,n_fidcs_investidos,n_posicoes_ligadas,n_posicoes_ligacao_nao_informada
01597187000115,SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,7539992037.84,22,0,0
26812171000109,MERCADO LIVRE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITAD,6323662727.59,6,6,0
55859549000128,ZETA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,5165514461.120001,6,5,0
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,4410243232.780001,21,0,0
36643527000181,ATUAL - FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,3450813903.5,2,0,0
24018842000139,SCORPIO FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,3421196658.78,3,0,0
25341064000187,ITAÚ WEALTH MASTER RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA,2795688274.4700003,20,0,0
46135530000148,EUV MASTER FUND FUNDO DE INVESTIMENTO FINANCEIRO,2178946912.83,1,1,0
26803603000115,SUNFLOWER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,2119565445.26,5,2,0
53293875000195,ITAÚ FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,1955800615.92,1,0,0
28951125000116,PEROLA NEGRA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,1763260208.63,5,1,0
24774957000153,GAZIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1685981886.42,1,1,0
61414981000108,ASPIS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO,1546482099.75,1,0,0
23034819000175,ANGÁ CRÉDITO ESTRUTURADO FIC FIF MULTI CP RESP LIMITADA,1523230871.8100002,37,25,0
18599004000101,SANTANDER PREV CRESCIMENTO RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA,1428940392.8700001,37,0,0
32312678000104,ARX DENALI PREVIDÊNCIA FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,1421889233.13,62,0,0
38658114000104,TARUMÃ FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA,1391099575.13,1,0,0
10264255000115,ITAÚ RENDA FIXA CRÉDITO PRIVADO DIFERENCIADO FIF RESP LIMITADA,1320762338.3700001,3,0,0
46879248000175,STATE CAPITAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,1299037542.35,1,1,0
41756159000118,KINEA ALPES PREV RENDA FIXA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA,1267050220.53,25,0,0
22380316000199,JIVE DISTRESSED II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CP - RESPONSABILIDADE LIMITADA,1266715161.77,1,1,0
01630558000113,SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA,1228242204.25,18,0,0
