gestor,vl_cotas_fidc,n_fundos
ITAU UNIBANCO ASSET MANAGEMENT LTDA.,16582733579.92,74
BTG PACTUAL ASSET MANAGEMENT S/A DTVM,8017545912.680001,42
BB GESTAO DE RECURSOS DTVM S.A,7790095427.77,35
GENIAL GESTÃO LTDA.,7092312423.01,7
XP INVESTIMENTOS CCTVM S.A.,6334613718.68,7
CATÁLISE INVESTIMENTOS LTDA.,5682050602.3,57
JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,5616243928.37,15
XP VISTA ASSET MANAGEMENT LTDA.,5363188548.16,31
KINEA INVESTIMENTOS LTDA.,4726291076.08,21
SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,4493190153.59,25
BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,3895374794.73,143
APEX GROUP INVESTIMENTOS LTDA.,3459986158.22,3
PORTOFINO GESTÃO DE RECURSOS LTDA.,3374427843.78,36
PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,3203146297.5,18
ARX INVESTIMENTOS LTDA,3096343813.76,18
PHRONESIS INVESTIMENTOS LTDA.,2414386786.6800003,4
MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA.,2237044259.5,13
VINCI SPS GESTÃO DE RECURSOS LTDA,2215079584.37,7
EUROVEST ASSET MANAGEMENT LTDA,2187068804.0299997,2
NEBRASKA CAPITAL GESTÃO DE RECURSOS LTDA,2124032327.74,2
ITAU UNIBANCO S.A.,2034129371.8,3
CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,1934433979.7099998,3
G5 ADMINISTRADORA DE RECURSOS LTDA.,1928957122.8999999,157
ANGÁ INVESTIMENTOS LTDA,1917082871.5000002,8
REDWOOD ADMINISTRAÇÃO DE RECURSOS LTDA,1688178311.6899998,27
ROOT CAPITAL - GESTÃO DE RECURSOS LTDA,1306531247.0,10
LUMINA CAPITAL MANAGEMENT LTDA.,1262554730.21,15
INTRA ASSET MANAGEMENT LTDA.,1186286648.29,5
VERDE ASSET MANAGEMENT S.A.,1180735390.9,16
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1177031022.4,1
Franklin Templeton Brasil Ltda.,1006907491.14,20
SAMESIDE CONSULTORIA E GESTÃO LTDA.,969334453.14,1
VINLAND CAPITAL MANAGEMENT CRÉDITO PRIVADO GESTORA DE RECURSOS LTDA.,968541260.36,21
NORTH SEA GESTORA DE RECURSOS LTDA.,964717708.09,2
XP ADVISORY GESTAO DE RECURSOS LTDA,948071845.27,28
ARTESANAL INVESTIMENTOS LTDA,876526975.77,6
