DT_COMPTC,dc_com_risco,inad_com_risco,v_i30,v_i31_90,v_i91_180,v_maior_180,dc_sem_risco,inad_sem_risco,vi_i30,vi_i31_90,vi_i91_180,vi_maior_180
2013-01-31,22361060842.579998,3150660485.9199996,384085257.3399999,387855663.40999997,548552381.16,1938531499.58,16416653785.860003,3564671375.49,429129568.23999995,310181295.52,397355374.16,2708678034.6
2013-02-28,21730987917.05,3275904196.8,390673256.12999994,409757950.09999996,597416590.69,1986810106.13,15149384286.02,3286511445.0999994,510699508.7799999,322735273.34999996,340623503.53999996,2493907326.89
2013-03-31,22507455052.249992,3031185150.440001,385456066.33,283877793.78999996,312867428.69,2156109603.77,15107309401.34,3119045074.84,408988316.23,238763770.15000004,219683584.42,2599997961.1899996
2013-04-30,22773274608.89,3265031003.3,399230380.39,352325845.4,388994412.2,2231536495.4900002,14408247662.350002,3215144565.8599997,407449945.1599999,264034533.9299999,205327081.24000004,2701033200.2999997
2013-05-31,23015272757.220005,3265243996.579999,410491309.47999996,406575560.3000001,336224825.94000006,2221763142.67,14282034945.279999,3258037416.080001,379138878.6,270284041.21,232997003.88999996,2741822522.51
2013-06-30,22236420100.86,3215178697.76,422525868.51999986,309174256.56999993,317693937.38,2273783992.92,14907884681.69,3133662416.8,334195414.64000005,258493272.26,226136620.42999998,2660745736.5699997
2013-07-31,22338206072.22,3371531122.0299997,421463446.3600001,357352817.51,332594829.1,2368459270.56,13475129441.149998,3170217426.81,366855678.17,219660167.48999998,240467143.95000005,2730717756.53
2013-08-31,22314084075.299995,3383579842.719999,373779295.66999996,346896200.46,317631933.34000003,2448282988.9500003,13793504440.04,3150125790.37,326904654.18000007,195670329.59000003,222135590.73000002,2743829208.2700005
2013-09-30,23390175738.760002,3628128527.549999,465440921.60999995,382272216.04999995,331339630.54999995,2635183359.52,13725962067.01,3138376001.2700005,390671831.15000004,260566811.59000003,212470369.37999997,2709571022.7200007
2013-10-31,22730633591.87,3870333978.559999,474069343.91999996,454424845.33000004,338179491.03999996,2713367667.23,14278259472.01,3177745115.61,414895664.13,351139032.6,208605398.80999997,2752474708.1099997
2013-11-30,22776119090.32,3658958182.17,387033997.71999997,243841672.64999998,401358672.36,2756782247.41,13744738109.29,3281865215.3000007,442571619.76,416887186.6799998,267274942.0000001,2763369915.59
2013-12-31,23093620437.21,4299234237.030001,636757513.8199999,258329241.10999992,408472282.5099999,3041092315.1600003,14398560960.96,3289792952.8199997,375276713.97,418443764.7500001,367839593.28999996,2735067534.9700003
2014-01-31,22295212447.460007,3966398528.8,436604350.88999987,431033642.7900002,493451434.44000006,2819011172.960001,13864907964.81,3144356778.0299997,318479932.47,364581084.28000003,319690386.24,2613057630.1000004
2014-02-28,21587237966.29,4061026646.899998,474640732.07000005,415522738.2099999,386286922.0100001,2988892212.2799997,13525444680.36,3175966046.7999997,296339237.23,246947802.73,436575589.87,2640158742.2699995
2014-03-31,21389115212.170002,4237719674.9799995,458626783.05999994,456963077.47,376223598.2900001,3087215504.58,14322350727.55,3110533721.5,334579075.14,253071582.32,427305421.02999985,2530330110.2700005
2014-04-30,21227645189.719994,4352499019.5,442257098.23,450324041.36,400954105.2300001,3176861398.8999996,13632838288.010002,3209410558.99,362381085.68999994,259436509.45000002,384903230.49,2589330296.54
2014-05-31,21276626269.649998,4177543316.26,345470622.86,302060035.90000004,446068287.6700001,3174611845.87,13203573657.53,12400311255.250004,319106398.96000004,262418015.67999998,320079657.36,11843375957.250002
2014-06-30,20920980609.699997,4520900731.24,455755648.83000004,358300317.23,491043284.51999986,3249639613.6,13719327526.750002,12389334114.39,338863173.65999997,291275694.93,302834222.9,11869229502.9
2014-07-31,20300929164.000004,5204422357.01,377840820.7800001,281442244.87,362182025.31,4208106692.3499994,12433848298.57,12518331666.05,335119578.68,270144239.64,316208879.51,11953885738.0
2014-08-31,22140846128.050003,5106249947.2699995,482493460.28,223014321.29000002,280695806.4800001,4172734340.6500006,10467469449.72,12548991938.33,333197998.39,267580057.0,303461681.21000004,11982561564.669998
2014-09-30,21198861009.05,6560220076.290003,416349618.93999994,247535087.28,297907483.49999994,5661857040.25,11932741868.11,1533392273.1499996,407979063.98,244194667.95,292510022.98,892104173.7199999
2014-10-31,20651044042.93,6556671193.769999,306344873.21000004,265985487.15000004,305450830.47999996,5764521229.289999,11725261268.55,1543341220.64,383152130.70000005,255348315.97000003,286841179.90000004,1285744145.0400002
2014-11-30,21479075127.949997,6534190430.0199995,269383112.69,194801085.42000005,327430055.94,5796421420.79,10533541479.16,1623872329.9699998,427537821.1800001,276507734.83,235060630.95999998,974458030.5799999
2014-12-31,22497623824.500008,6766670013.4,462380320.85,196091125.01999998,291336390.86999995,6015525081.429999,11486205155.029999,1635441006.31,508323787.77,238287453.42999995,252526321.77999997,886202395.4599999
