entidade,cnpj,valor,n_veiculos,participacao
OLIVEIRA TRUST SERVICER S/A,02150453000120,76256733591.11,45,0.07629507735346246
BB GESTAO DE RECURSOS DTVM S.A,30822936000169,61306056618.36,2,0.061336882812389575
BANCO BRADESCO S.A.,60746948000112,40620249180.84,32,0.04064067404180558
BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,32905080749.89,50,0.03292162623429571
CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,29818661015.920002,19,0.029833654572525688
SOLIS INVESTIMENTOS S A,17254708000171,27221374186.02,111,0.027235061762887546
BANCO BTG PACTUAL S/A,30306294000145,25300719043.449997,9,0.025313440867643915
GENIAL GESTÃO LTDA.,22119959000183,25222585787.689995,44,0.02523526832456003
TERCON INVESTIMENTOS S.A.,09121454000195,23845857804.300003,230,0.02385784808845827
BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,07625159000140,23376315185.050003,19,0.023388069371623715
VALORA RENDA FIXA LTDA.,17482086000139,16650503718.779999,24,0.01665887600182408
REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,46356742000155,16541977184.460001,30,0.01655029489769175
ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196,15746523763.68,22,0.015754441503355417
INTEGRAL INVESTIMENTOS LTDA.,06576569000186,14952034155.360003,21,0.01495955240610771
ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,09452272000105,14725435642.86,42,0.01473283995429896
VERT GESTORA DE RECURSOS FINANCEIROS LTDA.,31636333000135,14381959508.08,50,0.014389191111265333
ARTESANAL INVESTIMENTOS LTDA,03084098000109,14090911183.1,31,0.01409799644002474
PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,09204714000196,13532080967.630001,57,0.01353888523096941
POLÍGONO CAPITAL LTDA,43241789000185,13191989242.109999,55,0.013198622498960049
OURO PRETO GESTÃO DE RECURSOS S.A.,11916849000126,12842814611.37,102,0.012849272294622415
JUS CAPITAL GESTÃO DE RECURSOS LTDA.,21744796000167,12239427645.11,34,0.01224558193054623
M8 PARTNERS GESTORA DE RECURSOS LTDA.,18038439000179,12135850917.31,57,0.012141953121818434
KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,44870662000198,11064485486.3,44,0.011070048981903073
MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA.,07252227000173,10841371215.060001,53,0.010846822523316582
DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,10002670377.36,35,0.010007699966194687
REDASSET GESTAO DE RECURSOS LTDA,13037768000181,9860601746.21,9,0.00986555989944059
CATÁLISE INVESTIMENTOS LTDA.,18223260000191,9722079893.679998,107,0.009726968394714068
JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,07170960000149,8983424232.51,21,0.00898794131929908
XP VISTA ASSET MANAGEMENT LTDA.,16789525000198,8797815454.829998,41,0.008802239212957768
SMART AGRO INVESTIMENTOS LTDA.,28264093000180,8773843201.000002,11,0.008778254905288581
ORRAM GESTÃO DE RECURSOS LTDA.,33459864000125,8633464643.55,36,0.00863780576204513
JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,12600032000107,8334239347.5,30,0.008338430008152245
XP INVESTIMENTOS CCTVM S.A.,02332886000104,8006830008.85,3,0.008010856040029124
BLUE SOLUTIONS ASSET MANAGEMENT LTDA.,02622448000172,7070937110.33,23,0.007074492551527121
ASA ASSET MANAGEMENT LTDA.,19807960000196,7033087181.079999,9,0.007036623590401194
VERSAL FINANCE GESTÃO DE RECURSOS LTDA,13741074000120,6966388993.4800005,13,0.006969891865311006
GV ATACAMA CAPITAL LTDA.,40888143000104,6030432637.29,33,0.006033464887230925
G5 ADMINISTRADORA DE RECURSOS LTDA.,09446129000100,5757323313.02,42,0.005760218236871374
RIZA SECURITIZAÇÃO E CARTEIRAS GESTORA DE RECURSOS LTD,37556621000166,5746304743.51,19,0.005749194126953453
EMERALD GESTÃO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA,09815294000184,5711197383.799998,18,0.0057140691143989855
VALORA RENDA FIXA ESTRUTURADOS LTDA.,57369679000108,5476981255.280001,34,0.005479735216245433
REDWOOD ADMINISTRAÇÃO DE RECURSOS LTDA,10405423000145,5397538831.9,86,0.005400252847259854
APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13486793000142,5291812507.030001,18,0.005294473360591751
CARMEL GESTORA DE ATIVOS LTDA,24515907000151,5224081433.22,29,0.005226708229930955
QI GESTÃO DE RECURSOS LTDA.,52332058000136,4857442068.71,17,0.0048598845101253665
BLESS CAPITAL GESTORA DE RECURSOS LTDA.,20675481000142,4618839397.410001,73,0.004621161863530149
GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,32706879000188,4493881557.650001,35,0.004496141191893064
LASS CAPITAL GESTÃO DE RECURSOS LTDA,23455855000102,4421378809.639999,13,0.004423601987717047
PORTOFINO GESTÃO DE RECURSOS LTDA.,17590181000156,4381929340.41,11,0.004384132682323055
BRAVE GESTORA DE RECURSOS LTDA.,35704148000191,4365969544.73,27,0.004368164861665011
NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.,43228545000162,4347915645.51,6,0.004350101884500171
ACURA GESTORA DE RECURSOS LTDA,18167777000100,4279476223.06,15,0.004281628049024247
ITAU UNIBANCO S.A.,60701190000104,4237500534.87,6,0.00423963125442519
GESTORA DE RECURSOS ID - GRID LTDA,44615804000170,4079411380.7,57,0.004081462609137848
ECO GESTÃO DE ATIVOS LTDA,11695155000106,3949531491.9999995,9,0.003951517413633423
SUESTE CAPITAL GESTÃO DE RECURSOS LTDA,29036872000191,3804998602.7799997,18,0.0038069118497197226
SECURITY ADM. DE RECURSOS LTDA,02295841000107,3782353393.77,4,0.0037842552541413267
VCM GESTÃO DE CAPITAL LTDA,12678380000105,3695132071.0899997,24,0.003696990074433738
QUADRA GESTÃO DE RECURSOS S.A.,17707098000114,3631800061.99,23,0.003633626220440941
MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,16804280000120,3628908473.83,35,0.003630733178319252
INVISTA GESTORA DE RECURSOS LTDA.,19907396000183,3584162623.09,4,0.00358596482826429
ARTESANAL FINANCEIRO LTDA,33576954000104,3567718344.34,10,0.0035695122809262353
INTRA ASSET MANAGEMENT LTDA.,42621928000133,3530155303.86,10,0.0035319303528250435
H2 KAPITAL S.A.,40297139000163,3417985204.32,16,0.0034197038513984527
MULTIPLIKE GESTÃO DE RECURSOS LTDA.,29000207000148,3297097711.5,2,0.0032987555733719823
MORE INVEST GESTORA DE RECURSOS LTDA.,10556398000109,3296830629.8,4,0.0032984883573767307
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,62073200000121,3220155096.91,2,0.0032217742701417837
NEBRASKA CAPITAL GESTÃO DE RECURSOS LTDA,10290382000199,3168209289.4199996,5,0.003169802343021374
GUARDIAN CRÉDITO LTDA.,54882123000122,3161941448.2700005,15,0.003163531350246591
VINCI GESTORA DE RECURSOS LTDA,11077576000173,3139821965.9,13,0.003141400745656488
ASAROCK ASSET MANAGEMENT LTDA.,48352277000100,2911456479.82,12,0.0029129204317899383
NOVA S.R.M. ADMINISTRAÇÃO DE RECURSOS E FINANÇAS S/A,11504852000132,2864376100.2999997,10,0.002865816379096452
PHRONESIS INVESTIMENTOS LTDA.,10479557000100,2841878248.85,3,0.0028433072151730636
ARTESANAL MCMS LTDA,30701673000130,2760024962.64,12,0.0027614127711163214
REGIA CAPITAL LTDA,54464258000178,2518004602.9900002,8,0.0025192707176732903
LETO ASSET MANAGEMENT LTDA,13189882000127,2483333416.69,15,0.0024845820978475494
APEX GROUP INVESTIMENTOS LTDA.,23025053000162,2430490971.94,1,0.0024317130826158597
EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA,32288914000196,2420113148.8599997,27,0.002421330041311013
FARMTECH GESTÃO DE RECURSOS LTDA.,20043909000134,2397581171.4300003,12,0.0023987867342482425
REAG PORTFÓLIO SOLUTIONS LTDA.,48954141000170,2393392962.41,13,0.0023945964192936737
KUMB INVEST S.A.,48892980000100,2272214790.86,4,0.0022733573163767847
VINCI SPS GESTÃO DE RECURSOS LTDA,16954358000193,2251912460.0,8,0.002253044777005181
EB CAPITAL CRÉDITO PRIVADO LTDA.,53554944000177,2202074010.33,1,0.0022031812673361465
EUROVEST ASSET MANAGEMENT LTDA,10423667000150,2186745397.74,2,0.002187844947142494
BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,44696473000140,2186180784.95,41,0.0021872800504512883
AUGME CAPITAL GESTÃO DE RECURSOS LTDA.,23360896000115,2175632855.48,26,0.002176726817222763
IORQ GESTÃO DE RECURSOS LTDA,09456933000162,2107475605.4300003,17,0.0021085352960300663
TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,03384738000198,2094619513.96,9,0.002095672740200882
ORIZ ASSET MANAGEMENT LTDA.,31384260000131,2081592239.69,20,0.002082638915496774
BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,12695840000103,2074216943.36,9,0.0020752599106862706
PRAVALER S/A,04531065000114,2041162486.4299998,4,0.002042188833161845
RENOVA GESTORA DE RECURSOS LTDA,13971519000169,2019688237.8500001,18,0.002020703786801171
KINEA INVESTIMENTOS LTDA.,08604187000144,2009431460.86,4,0.002010441852451278
LATACHE GESTÃO DE RECURSOS LTDA,12461742000101,1999514959.8200002,10,0.002000520365150507
MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,1948302634.4299998,37,0.0019492822889429487
PRISMA CLAIMS LTDA.,38267850000123,1905011426.9699998,13,0.001905969313598427
PRISMA CAPITAL LTDA,27451028000100,1871230319.21,6,0.0018721712198660817
PATRIMONIAL GESTÃO DE RECURSOS LTDA.,30135282000103,1827974175.52,14,0.0018288933259224865
LIBERTAS ASSET S/A,32764855000185,1827225703.3399997,36,0.0018281444773922538
Berkana Investimentos e Gestao de Recursos Ltda.,10757908000106,1807041454.53,6,0.0018079500794452117
OPEA GESTORA DE RECURSOS LTDA.,36196900000101,1754127990.83,10,0.001755010009553446
KP GESTÃO DE RECURSOS LTDA,25098663000111,1747370773.34,11,0.0017482493943681945
KOBOLD GESTORA DE FUNDOS LTDA,07852196000191,1739897537.0700002,4,0.0017407724003710794
PÁTRIA INVESTIMENTOS LTDA.,12461756000117,1732826001.56,7,0.001733697309118992
VERDE ASSET MANAGEMENT S.A.,19749539000176,1706180436.1599998,6,0.0017070383456729529
CULTINVEST ASSET MANAGEMENT LTDA,12160857000158,1703862676.9199998,10,0.0017047194210065661
HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,36040900000100,1685835691.2100003,39,0.0016866833708845017
STRATA CAPITAL GESTÃO DE RECURSOS LTDA,43179785000114,1674409086.0700002,34,0.0016752510201662248
ALGARVE CAPITAL GESTÃO DE RECURSOS LTDA.,38481640000133,1673125526.0900002,21,0.001673966814780678
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,1636850810.79,4,0.0016376738596610924
B.OND CAPITAL LTDA.,54641866000100,1635972667.63,3,0.0016367952749491003
TRIUS CAPITAL GESTÃO DE INVESTIMENTOS E CONSULTORIA LTDA,11013757000136,1625993723.6500003,5,0.0016268113133104825
ARTESANAL IMOBILIÁRIO LTDA.,55704616000135,1460828586.3000002,2,0.0014615631268646554
APUAMA CAPITAL GESTORA DE RECURSOS LTDA,13557425000148,1442508089.87,19,0.0014432334184381766
OLIVEIRA TRUST DTVM S.A.,36113876000191,1402688931.08,4,0.0014033942375951747
WNT GESTORA DE RECURSOS LTDA,28529686000121,1365079322.73,31,0.0013657657182085119
SOSU CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,28381802000108,1352309737.18,22,0.0013529897117966338
PLURAL INVESTIMENTOS GESTÃO DE RECURSOS LTDA.,09630188000126,1347271831.52,14,0.0013479492729536833
GUARDIAN GESTORA LTDA.,37414193000137,1345192525.0499997,12,0.0013458689209572175
SUNO GESTORA DE RECURSOS LTDA,11304223000169,1329102460.25,5,0.0013297707656766548
CONTEA CAPITAL GESTAO DE RECURSOS LTDA,11325341000153,1320147825.14,20,0.001320811627955745
ARC CAPITAL LTDA.,27690986000125,1314327061.56,8,0.0013149879375525658
CVPAR INVESTIMENTOS LTDA,16492426000140,1293587461.41,12,0.0012942379090212024
BRZ GESTÃO DE RECURSOS LTDA.,14209785000111,1270934963.37,11,0.0012715740207477023
ROOT CAPITAL - GESTÃO DE RECURSOS LTDA,11397040000135,1258249312.45,15,0.001258881991170222
ARTESANAL AGRO LTDA.,55930185000125,1191422066.71,4,0.0011920211430464238
NORTH SEA GESTORA DE RECURSOS LTDA.,41917181000100,1186531901.0900002,7,0.0011871285185308016
OSLO DTVM,13673855000125,1186286953.4,4,0.0011868834476750749
LUMINA CAPITAL MANAGEMENT LTDA.,09500375000195,1181480292.73,10,0.0011820743700977963
GOLDEN ASSET GESTORA DE RECURSOS LTDA.,19910578000103,1168647638.49,4,0.0011692352632834287
CHIMERA CAPITAL ASSET MANAGEMENT LTDA.,37332689000161,1138316509.62,19,0.001138888883175374
CAIXA ECONOMICA FEDERAL,00360305000104,1125156839.8799999,2,0.0011257225964295648
SRM Empírica Gestão de Crédito LTDA,10896871000199,1110022773.52,27,0.001110580920288545
TAG INVESTIMENTOS LTDA,01591499000111,1106208891.1100001,18,0.0011067651201646085
BBS ASSET MANAGEMENT - ADMINISTRADORA DE RECURSOS LTDA,05677501000120,1102158652.59,10,0.0011027128450850027
V8 CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,11392069000124,1081227409.19,7,0.0010817710769406967
PIER GESTÃO DE RECURSOS FINANCEIROS LTDA.,48701625000107,1077843446.39,4,0.0010783854126009205
YARDS ASSET GESTORA DE RECURSOS LTDA.,37537640000145,1051340728.27,4,0.0010518693682620092
SAMESIDE CONSULTORIA E GESTÃO LTDA.,28501790000108,969334455.98,1,0.0009698218612001009
BRZ INVESTIMENTOS LTDA,02888152000106,950601241.7900002,8,0.0009510792274889759
TERA INVESTIMENTOS LTDA.,30782926000147,950079593.24,9,0.0009505573166412468
PRINZ GESTORA DE RECURSOS LTDA.,40701503000109,947192868.03,4,0.000947669139914768
ASSET WEALTH MANAGEMENT LTDA,42221617000187,942911151.0799999,48,0.000943385270012111
SOMMA MULTI-FAMILY OFFICE S.A.,29247309000162,877235520.4499999,3,0.0008776766160587318
MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA,12564465000154,854731416.59,11,0.0008551611965814778
