entidade,cnpj,valor,n_veiculos,participacao
BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,160988824072.20996,437,0.16106977321494045
QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,141693781732.04987,819,0.14176502885263448
OLIVEIRA TRUST DTVM S.A.,36113876000191,99918337330.76001,159,0.09996857872979248
BANCO DAYCOVAL S.A.,62232889000190,61813547341.43,417,0.061844628714284644
BB GESTAO DE RECURSOS DTVM S.A,30822936000169,61314429105.2,3,0.061345259509122
BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,52415686740.45,47,0.05244204263771008
CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,51879157262.53999,84,0.05190524337957442
GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,31786289246.710014,86,0.03180227217521411
INTRAG DTVM LTDA.,62418140000131,29686332813.989994,41,0.02970125983271911
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39669186000101,25127596349.12,131,0.0251402311229626
APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13486793000142,22495210763.969997,141,0.022506521909556525
BANCO GENIAL S.A.,45246410000155,20886401729.499996,54,0.020896903926310682
XP INVESTIMENTOS CCTVM S.A.,02332886000104,18861582181.739998,48,0.01887106624945061
FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03317692000194,17830934662.129997,66,0.01783990049490318
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188,17814393021.039997,185,0.017823350536268944
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16695922000109,16903306042.13001,299,0.016911805440403816
VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,48967968000118,16003105666.349998,51,0.016011152421720642
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,13593285481.76999,166,0.013600120520245373
PLANNER CORRETORA DE VALORES S.A.,00806535000154,13407397579.160006,182,0.013414139148623194
BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,02201501000161,13354420783.080004,46,0.013361135714506346
APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,36864992000142,13281335095.269995,43,0.013288013277413845
