entidade,cnpj,dc_com_risco,dc_sem_risco,valor,VL_PL,dc_sobre_pl
FIDC DO SISTEMA PETROBRAS,09195235000150,0.0,58239773982.06,58239773982.06,61254971563.01,0.950776279802066
TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26287464000114,0.0,28186458808.25,28186458808.25,41496046291.59,0.6792564913337912
PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,65473848000183,0.0,17285378512.8,17285378512.8,17971763062.82,0.9618076118842234
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,9443495620.98,0.0,9443495620.98,10010957003.11,0.9433159704957564
ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,36886028000115,8857852576.13,0.0,8857852576.13,8843985004.68,1.0015680229492316
AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52610624000124,7365283084.6,0.0,7365283084.6,7350884666.57,1.0019587326809085
CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63953620000165,0.0,6942986037.25,6942986037.25,8253013228.5,0.841266800987777
BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,52242420000188,0.0,6719007472.95,6719007472.95,8032044361.07,0.8365251946958767
CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26286939000158,0.0,6096322521.75,6096322521.75,6479950762.42,0.9407976611651397
RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,53216449000158,5818229352.77,0.0,5818229352.77,6390451812.87,0.9104566505066861
ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,5715129617.76,0.0,5715129617.76,8719298749.48,0.6554574836767507
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,42922136000107,5584036253.47,0.0,5584036253.47,5751418460.99,0.9708972301954207
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,29225241000110,5100989658.62,0.0,5100989658.62,5861437942.62,0.8702625035965001
KRISPY  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59385783000111,5025681965.4,0.0,5025681965.4,42664019.95,117.79672828040667
BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50906397000153,0.0,4965136657.36,4965136657.36,6007175688.48,0.8265342841364994
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,4372111313.14,0.0,4372111313.14,8458862801.73,0.5168675051977223
VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21126275000146,4242802719.16,0.0,4242802719.16,4242510733.6,1.00006882376459
RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,29301202000155,4011090870.02,0.0,4011090870.02,3599850973.43,1.1142380336367546
