entidade,cnpj,VL_PL,maior_sacado,top5,top10,top25,n_posicoes,dc_tot,pct_maior_sacado,pct_top5,pct_top10,inconsistente_viii_vs_i
FIDC DO SISTEMA PETROBRAS,09195235000150,61254971563.01,58239773982.06,58239773982.06,58239773982.06,58239773982.06,1,58239773982.06,1.0,1.0,1.0,False
CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26286939000158,6479950762.42,6096322521.75,6096322521.75,6096322521.75,6096322521.75,1,6096322521.75,1.0,1.0,1.0,False
KRISPY  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59385783000111,42664019.95,5426081965.4,5426081965.4,5426081965.4,5426081965.4,1,5025681965.4,1.079670779559194,1.079670779559194,1.079670779559194,True
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,33254370000104,3017886933.33,3881146805.09,3881146805.09,3881146805.09,3881146805.09,1,3007875478.58,1.2903282841091102,1.2903282841091102,1.2903282841091102,True
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO MEIOS DE PAGAMENTO,60356171000180,3254537202.75,3029985623.04,3029985623.04,3029985623.04,3029985623.04,1,3022054631.6,1.0026243706374696,1.0026243706374696,1.0026243706374696,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,62393829000159,3091715187.97,2643945914.55,2701059105.03,2701059105.03,2701059105.03,2,2701059105.03,0.978855260748037,1.0,1.0,False
CLOUDWALK A.I. FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57609282000146,2700487143.69,2435294667.5,2435294667.5,2435294667.5,2435294667.5,1,2442991406.59,0.9968494612509736,0.9968494612509736,0.9968494612509736,False
ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,42358004000196,2341582512.2,2341685355.99,2341685355.99,2341685355.99,2341685355.99,1,2341685355.99,1.0,1.0,1.0,False
CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,32321307000180,2712460624.74,2211990287.36,2691090756.76,2691090756.76,2691090756.76,4,166701570.92,13.269162822835865,16.143163750097195,16.143163750097195,True
RSG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57719370000109,2140596574.92,2143000000.0,2143000000.0,2143000000.0,2143000000.0,1,2143000000.0,1.0,1.0,1.0,False
