DENOM_SOCIAL,CNPJ,TP_FUNDO_CLASSE,VL_PL,ADMIN,FUNDO_EXCLUSIVO,COTST_INTERESSE,participacao
FIDC DO SISTEMA PETROBRAS,09195235000150,Classe,61254971563.01,BB GESTAO DE RECURSOS DTVM S.A,S,N,0.06128577207021649
TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26287464000114,Classe,41496046291.59,OLIVEIRA TRUST DTVM S.A.,N,N,0.04151691152489649
PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,65473848000183,Classe,17971763062.82,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,N,N,0.01798079970757887
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,Classe,10010957003.11,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,N,N,0.010015990758664044
ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,36886028000115,Classe,8843985004.68,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,S,S,0.008848431977993676
ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,Classe,8719298749.48,INTRAG DTVM LTDA.,S,N,0.008723683027475991
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,Classe,8458862801.73,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,N,S,0.00846311612612205
CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63953620000165,Classe,8253013228.5,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,N,N,0.008257163046660607
BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,52242420000188,Classe,8032044361.07,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,N,N,0.008036083070645947
AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52610624000124,Classe,7350884666.57,XP INVESTIMENTOS CCTVM S.A.,N,N,0.007354580872287993
CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26286939000158,Classe,6479950762.42,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,N,N,0.006483209041137023
RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,53216449000158,Classe,6390451812.87,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,N,N,0.006393665089312591
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28169275000172,Classe,6234652185.61,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,N,N,0.006237787122165725
BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50906397000153,Classe,6007175688.48,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,N,N,0.006010196244254698
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,29225241000110,Classe,5861437942.62,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,N,N,0.005864385217869427
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,42922136000107,Classe,5751418460.99,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,N,N,0.005754310415736448
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  PICPAY I,32527650000186,Classe,4762640671.11,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,N,N,0.004765035444049557
ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,30576260000170,Classe,4520325687.36,BANCO GENIAL S.A.,N,N,0.004522598618362277
MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61285603000171,Classe,4467343585.25,INTRAG DTVM LTDA.,N,N,0.00446958987554743
VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21126275000146,Classe,4242510733.6,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,N,S,0.004244643972406412
DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,34197588000137,Classe,4015059128.44,BANCO DAYCOVAL S.A.,N,N,0.0040170779989816795
HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS,51152102000163,Classe,3967152720.03,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,S,S,0.003969147502050539
