etapa,status,gate,duracao_s,artefato,sha256_16
02_build.py,OK,não,86.3,data/duckdb/fidc.db,0592086848d4a4f4
02b_build_series_classes.py,OK,não,18.8,data/duckdb/fidc.db,74de5403ef43df95
03_analytics.py,OK,não,23.1,data/analytic/serie_mercado_mensal.csv,1f9ce9a3dc9a26aa
09_cda_detentores.py,OK,não,3.0,data/analytic/detentores_cda_resumo.csv,804e0ddaa7342b85
11_tab_viii_sacados.py,OK,não,12.4,data/analytic/sacados_concentracao.csv,68d43d30a26c51c2
11b_tabelas_faltantes.py,OK,não,26.0,data/analytic/identidade_contabil.csv,ff7250bb3618fbed
12_reconciliacao_competencia.py,OK,não,2.2,data/analytic/cobertura_competencia_202607_resumo.csv,9d6cebe59066b39d
13_red_flags_v2.py,OK,não,56.4,data/analytic/rf2_score_veiculo.csv,96327af3eb39fb7b
14_lentes_exposicao.py,OK,não,2.2,data/analytic/lentes_catalogo.csv,aa3cfa10e5411b63
15_matriz_fontes_schema.py,OK,não,0.9,MATRIZ_FONTES_COBERTURA.csv,c646c91433229c1f
18_backtest.py,OK,não,15.0,data/analytic/backtest_resumo.csv,f51597fb3cee7428
06_livro_evidencias.py,OK,não,0.6,auditoria/livro_evidencias.csv,c0429b2ec4abdade
05_testes_auditoria.py,OK,sim,2.0,data/analytic/testes_auditoria.csv,e5e4f7dc08a2b311
16_painel_dados.py,OK,não,2.6,data/analytic/painel_dados.json,a06ef380c7f72aa0
20_teste_formulas.py,OK,sim,3.3,data/analytic/verificacao_formulas.csv,a80a66bb5a322f79
17_painel_v2.py,OK,não,0.0,relatorio/painel_fidc_v2.html,ad7809cfdcacb874
19_dicionario_dados.py,OK,não,1.2,DICIONARIO_DADOS_FIDC.md,d62e8d1c685d1a66
