ano,aquis_com_risco,aquis_sem_risco,alienacoes_para_cedente,alienacoes_para_prestadores,alienacoes_para_terceiros,substituicoes,recompras
2013,72493756075.29007,51537528208.41008,3651372223.190001,29178999.5,7087319.279999999,13852736.59,292284161244319.06
2014,80473282144.39995,885851317514.7301,892205353.2400001,25741971.43,74416672.59,0.0,3482840912.4299994
2015,76496730292.52,160413767790.66962,984400536.0500001,0.0,175360488.64999998,32786189.3,4998922317.420013
2016,76336112995.90994,146146020791.77,861404837.2599999,0.0,152113448.05,1122836.49,5225807500.379986
2017,71490998847.56995,221768006850.03015,625857926.4300001,0.0,499893825.1,0.0,6224561955.209998
2018,92669801949.61993,276511332442.37054,643242399.7600002,281648588.34000003,141437286.92000002,504994.5,8168212075.439997
2019,132176013445.81999,301669553028.50946,503867088.74,372065777.9099999,225265050.59000003,46960905.47,9362199533.989992
2020,134728528530.05981,264223949941.4299,448156737.53999996,642036509.33,4451975464.65,49046876.129999995,8520369273.889996
2021,199571814589.56982,365792424422.59033,0.0,681839979.3899999,342577776.1,66218130.01000001,9370017500.099997
2022,282695834220.21924,491198441332.27856,0.0,612264499.34,253486358.16000003,2667693725.0199995,14409528863.760027
2023,384229311808.8402,688500025581.2407,1209540.02,561043811.31,984821450.8999999,1524914321.8999991,17323936745.08
2024,547376293165.2609,968149157881.7982,1236034793.34,658279085.0199999,1643981593.9099996,4001307735.2899985,21259075890.830032
2025,764300667849.1714,1109595399050.679,1693192585.13,734935452.95,2057653929.65,1615156318.6499991,29527065510.86002
2026,548569630020.93066,553359663944.4813,605820366.17,446291509.8,981308401.1099999,517364746.5300001,14868972100.920036
