nome_admin,cnpj_admin,pl,n_veiculos,participacao,var_12m,var_36m,var_60m
BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,160988824072.20996,437,0.16106977321494037,0.4180049112709774,3.0404039049866807,13.533954637704014
QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,141693781732.04987,819,0.14176502885263442,0.3389480847406483,1.6025419749296486,3.3993584220639352
OLIVEIRA TRUST DTVM S.A.,36113876000191,99918337330.76001,159,0.09996857872979244,0.21943778150797577,0.23453654314862615,0.8072077297280982
BANCO DAYCOVAL S.A.,62232889000190,61813547341.43,417,0.06184462871428461,0.33653683278719604,3.4251117930659616,26.168467205985248
BB GESTAO DE RECURSOS DTVM S.A,30822936000169,61314429105.2,3,0.06134525950912197,-0.21504826766307839,0.663644728478868,-0.07582238105231343
BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,52415686740.45,47,0.05244204263771005,0.37319293667799514,2.2121322554906375,4.0832901680582685
CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,51879157262.53999,84,0.051905243379574396,-0.33355440732536246,4.104515484389914,2.8666951338441984
GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,31786289246.710014,86,0.03180227217521409,4.647295279048924,14460.49422286853,1574.6874875681708
INTRAG DTVM LTDA.,62418140000131,29686332813.989994,41,0.029701259832719096,-0.30946780636489,14.506564297125175,2.3004139109534223
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39669186000101,25127596349.12,131,0.02514023112296259,0.5073001836471935,2.940266586801564,
APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13486793000142,22495210763.969997,141,0.022506521909556515,0.31080046325631105,-0.28556157604202836,0.046064939559215645
BANCO GENIAL S.A.,45246410000155,20886401729.499996,54,0.020896903926310672,-0.45050948742200725,-0.0275923481586966,0.9997478478294974
XP INVESTIMENTOS CCTVM S.A.,02332886000104,18861582181.739998,48,0.018871066249450598,0.6002049210481435,9.84844631967177,
FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03317692000194,17830934662.129997,66,0.01783990049490317,0.19094704968695297,0.8658448608133358,1.7042595848106865
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188,17814393021.039997,185,0.017823350536268934,0.3295565194345409,2.2234572869635705,3.2853946519973567
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16695922000109,16903306042.13001,299,0.01691180544040381,0.3978762196064667,7.96878087663017,
VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,48967968000118,16003105666.349998,51,0.01601115242172063,2.603406933345464,,
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,13593285481.76999,166,0.013600120520245366,0.8553583937229792,11.984726745816612,59.532069685596205
PLANNER CORRETORA DE VALORES S.A.,00806535000154,13407397579.160006,182,0.013414139148623187,1.582984979808706,7.808272972646364,27.306641454643955
BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,02201501000161,13354420783.080004,46,0.01336113571450634,0.1971962107141465,2.131055795940268,5.775948836494343
APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,36864992000142,13281335095.269995,43,0.013288013277413838,0.10273977546657109,0.4625510671489621,374.28637441909285
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,11355494189.79,40,0.011361204011731003,-0.144911088973267,1.3618004631762428,0.81302293253391
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,37678915000160,10212770627.099998,87,0.010217905859510884,0.3257902269214932,2.6926480159624417,41.30050385339606
S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,8828691758.24,15,0.008833131041732995,0.09114913167066407,0.5249559694461428,0.6566857348805921
SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598000167,8330793482.69,25,0.008334982410676612,-0.35906115921222914,-0.078075992028248,26.868536239146056
CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,47215387000167,7357368204.340005,80,0.007361067670140352,0.5391400818706673,,
"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112,6736020234.04,16,0.006739407270789306,0.4701028882015479,0.7775808205132986,3.3453675874910207
BANCO J. SAFRA S.A.,03017677000120,5990325572.939999,19,0.005993337656061918,0.1750455290311399,6.478498290472138,4.025163733038042
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,5596267245.100001,44,0.00559908118599678,-0.7106175825042026,-0.3441019287896353,0.07155844087374597
BANCO FINAXIS S.A.,11758741000152,5421187786.33,17,0.005423913692966147,-0.0014574553374999688,0.33999344476631843,0.7242962832307407
QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,62264924000152,4896036385.5,42,0.004898498233087664,,,
RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,3924659618.2,18,0.00392663303364317,-0.2725568343895173,-0.09268829961005542,-0.270053810630028
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,12063256000127,3282840562.209998,82,0.0032844912552364427,0.7757748051453779,2.669654111762478,0.12842219728199233
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,44782130000107,2453235246.6399994,69,0.0024544687936969207,0.9262970369658876,,
