nome,cnpj,pl,n_classes,participacao_do_identificado
PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,61562112000120,210438978510.62,443,0.21629268427515216
NEXT AUDITORES INDEPENDENTES S/S LTDA.,19280834000126,174475955390.74042,1364,0.17932929060967892
ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,61366936000125,150736192031.06,373,0.15492916674734486
DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,49928567000111,104030156951.65999,132,0.10692392660281036
KPMG AUDITORES INDEPENDENTES LTDA.,57755217000129,91344743482.15,259,0.0938856475259994
GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,10830108000165,60766852373.94999,286,0.06245718216243029
RSM BRASIL AUDITORES INDEPENDENTES LTDA.,16549480000184,44955607790.49999,315,0.046206121846088875
CONFIANCE AUDITORES INDEPENDENTES,05452311000105,25207488397.46999,156,0.025908676082308527
BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA,54276936000179,17456279844.819996,89,0.017941854934939303
MGI ASSURANCE AUDITORES INDEPENDENTES SS,15454120000136,17254838129.38,92,0.017734809787382153
UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES,42170852000177,12629162158.789997,133,0.012980463043508889
RSM ACAL AUDITORES INDEPENDENTES S/S,07377136000164,9990058093.900002,65,0.010267947965187903
MCS MARKUP AUDITORES INDEPENDENTES S/S LTDA,23854307000155,9196661103.9,37,0.009452481335015745
CLA - CLIFTON LARSON ALLEN BRASIL AUDITORES INDEPENDENTES S/S LTDA,54080721000188,8456459154.12,56,0.00869168945246278
NIX AUDITORES INDEPENDENTES,39483386000175,7887854763.719999,94,0.008107268397196889
SÊNIOR AUDITORES INDEPENDENTES S/S,03156926000169,6442686632.000003,50,0.0066219005406766675
BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.,18596945000183,4554753395.65,26,0.004681451341044148
AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S,42165506000109,4366820187.829999,13,0.004488290462429749
CONATUS AUDITORES INDEPENDENTES S/S,28455792000108,3972219489.2899995,11,0.004082713297457152
BGM AUDITORES INDEPENDENTES S/S LTDA,50696344000155,2506886005.48,64,0.0025766191564635414
AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA,07037795000151,2180917536.3699994,62,0.002241583339088549
ECOVIS WFA AUDITORES INDEPENDENTES S/S,40221974000110,2105215491.6199996,43,0.002163775517647956
DAVI & CORRÊA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,02971670000180,641969978.44,1,0.0006598274276162284
FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.,07326840000198,411213357.09999996,6,0.00042265193191130763
RONSKOSKI AUDITORES INDEPENDENTES S/S,43995582000104,252105619.47000006,14,0.0002591183512766602
YPC AUDITUN S AUDITORIA INDEPENDENTE S/S,24882658000132,202666196.84,4,0.00020830368991810983
AUDIBRAS - AUDITORES E CONSULTORES S/S,07341692000180,115711105.0,2,0.00011892979940325526
BAKER TILLY BRASIL MG AUDITORES INDEPENDENTES LTDA.,26230862000102,109552994.22,1,0.00011260039065922483
BAKER TILLY BRASIL-ES AUDITORES INDEPENDENTES,27243377000128,80162367.58,1,8.239221547473264e-05
FINAUD AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,20824537000183,63465400.97,1,6.523079531916373e-05
TATICCA AUDITORES INDEPENDENTES S.S. - EPP,20840718000101,52134046.56,1,5.358424067820258e-05
BWEL AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,67634717000166,44750933.9,1,4.599575461521464e-05
PLANNERS AUDITORES INDEPENDENTES,58799685000168,25976429.290000003,3,2.6699006328498418e-05
TAG AUDITORIA E CONSULTORIA EMPRESARIAL S/S,01420601000116,-20312986.439999998,2,-2.0878025515271366e-05
