nome,cnpj,pl,n_classes,participacao_do_identificado
BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,31320709807.159992,97,0.45044908201423944
QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,5689136958.14,43,0.08182019296579332
BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,02201501000161,5056932084.97,10,0.07272793080067295
BANCO DAYCOVAL S.A.,62232889000190,3445752855.41,17,0.04955622717760236
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,3305459658.31,2,0.04753855445448638
OLIVEIRA TRUST DTVM S.A.,36113876000191,3291021172.3400006,11,0.047330902623129265
REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,3075816256.31,11,0.044235862393597024
BANCO GENIAL S.A.,45246410000155,2702784427.54,4,0.03887098254680865
BANCO FINAXIS S.A.,11758741000152,2564701717.73,6,0.036885100673156666
BANCO BRADESCO S.A.,60746948000112,2059538516.82,7,0.029619930071395087
XP SERVIÇOS FINANCEIROS DTVM Ltda.,05389174000101,1308714426.81,2,0.01882170665367848
BANCO PAULISTA S.A.,61820817000109,1064742280.9,1,0.015312941052935906
PLANNER CORRETORA DE VALORES S.A.,00806535000154,947697015.13,2,0.013629616094950548
S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,821729679.5100001,8,0.011817975457073394
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188,665980321.83,5,0.009578014880725749
BANCO B3 S.A.,00997185000150,574551909.56,4,0.008263107120633216
ITAU UNIBANCO S.A.,60701190000104,570421843.52,2,0.008203709218483792
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16695922000109,354766277.09000003,5,0.005102187812112361
AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40434681000110,256903908.45,6,0.0036947479938886424
CM CAPITAL MARKETS CCTVM LTDA,02685483000130,172265047.84,2,0.0024774864024610407
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39669186000101,115564179.39999999,3,0.0016620242275786098
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,65027249.33,4,0.0009352107582157497
"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112,36485887.68,2,0.0005247337851894263
TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03751794000113,33085953.36,1,0.00047583651233762766
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,45854066000187,25052526.229999997,2,0.00036030113978647443
INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,18945670000146,5659329.48,1,8.139150692234187e-05
INTRA INVESTIMENTOS DTVM LTDA,15489568000195,1685714.85,3,2.424366214544368e-05
