nome,cnpj,pl,n_classes,participacao_do_identificado
BANCO BTG PACTUAL S/A,30306294000145,162515338820.27017,442,0.16413056714503926
QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,138674183861.7002,778,0.14005245665314034
OLIVEIRA TRUST DTVM S.A.,36113876000191,119491462881.90999,207,0.12067907998203126
BANCO DAYCOVAL S.A.,62232889000190,68457420545.570015,496,0.06913781395033115
BANCO DO BRASIL S.A.,00000000000191,61254971563.01,1,0.06186378034265953
REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,58334559394.80997,92,0.05891434240687153
BANCO BRADESCO S.A.,60746948000112,50840097306.79001,47,0.05134539339637796
BANCO GENIAL S.A.,45246410000155,42002731327.22001,124,0.0424201934686393
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39669186000101,25180406287.5,133,0.02543067254396545
BANCO FINAXIS S.A.,11758741000152,23210416808.609997,83,0.023441103480595
ITAU UNIBANCO S.A.,60701190000104,23035570179.53999,35,0.02326451906338872
APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13486793000142,22650231497.239998,143,0.02287535052749584
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,20536058682.6,168,0.02074016510051751
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188,17736297179.170002,185,0.017912576967824292
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16695922000109,16618757786.189997,290,0.01678393043077598
VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,48967968000118,16025220447.170004,51,0.016184493966610307
APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,36864992000142,14063117810.66,44,0.014202890132381974
PLANNER CORRETORA DE VALORES S.A.,00806535000154,13545648788.339994,183,0.013680278022473381
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,12371850834.25,76,0.012494813774501436
BNY MELLON BANCO S.A.,42272526000170,10805352799.030005,41,0.010912746427390329
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,37678915000160,10603458149.279995,82,0.010708845161161759
S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,9628900736.93,18,0.009724601692418759
BANCO B3 S.A.,00997185000150,9300547203.569998,12,0.00939298467678397
SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598000167,8168421941.199999,22,0.008249607302433395
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,5580966887.260001,37,0.005636435717841403
QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,62264924000152,4779258486.049999,40,0.004826759194192991
RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,3926449702.0599995,14,0.003965474404716297
TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03751794000113,3494802902.3199987,84,0.003529537498317459
BANCO SAFRA S/A,58160789000128,2969811418.9399996,14,0.0029993281621466185
LASTRO RDV DTVM Ltda,71590442000183,2477348080.98,48,0.002501970266305759
OSLO DTVM,13673855000125,2416448078.34,23,0.002440464982896838
AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40434681000110,2237516499.6999993,87,0.002259755016099061
FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,36266751000100,1400387336.3199997,37,0.0014143056858597531
XP SERVIÇOS FINANCEIROS DTVM Ltda.,05389174000101,1082272753.9,2,0.0010930293853657746
INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,18945670000146,1006891082.26,9,0.0010168985006848072
BR-CAPITAL DTVM S.A.,44077014000189,641969978.44,1,0.0006483504721235806
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,45854066000187,618347403.71,20,0.0006244931143135042
BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,58006471000197,539899163.3399999,16,0.0005452651824953385
CAIXA ECONOMICA FEDERAL,00360305000104,522248713.87,1,0.0005274393064709234
INTRA INVESTIMENTOS DTVM LTDA,15489568000195,394407451.33000004,21,0.0003983274387694179
MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,41592532000142,381310992.74000007,20,0.0003851008154145269
"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112,243845365.72,7,0.00024626892736306563
LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40768766000135,186490100.07,5,0.0001883436118314665
ATIVA INVESTIMENTOS S.A. C.T.C.V.,33775974000104,127486114.25,4,0.0001287531896180616
BANCO BNP PARIBAS BRASIL S/A,01522368000182,79700375.04,1,8.049251136506221e-05
QI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,46955383000152,0.0,2,0.0
