,n_cotistas,classe,categoria
TAB_X_NR_COTST_SENIOR_PF,499.0,senior,PF
TAB_X_NR_COTST_SENIOR_PJ_NAO_FINANC,730.0,senior,PJ_NAO_FINANC
TAB_X_NR_COTST_SENIOR_BANCO,94.0,senior,BANCO
TAB_X_NR_COTST_SENIOR_CORRETORA_DISTRIB,113.0,senior,CORRETORA_DISTRIB
TAB_X_NR_COTST_SENIOR_PJ_FINANC,13.0,senior,PJ_FINANC
TAB_X_NR_COTST_SENIOR_INVNR,10.0,senior,INVNR
TAB_X_NR_COTST_SENIOR_EAPC,0.0,senior,EAPC
TAB_X_NR_COTST_SENIOR_EFPC,1.0,senior,EFPC
TAB_X_NR_COTST_SENIOR_RPPS,0.0,senior,RPPS
TAB_X_NR_COTST_SENIOR_SEGUR,1.0,senior,SEGUR
TAB_X_NR_COTST_SENIOR_CAPITALIZ,5.0,senior,CAPITALIZ
TAB_X_NR_COTST_SENIOR_COTA_FIDC,218.0,senior,COTA_FIDC
TAB_X_NR_COTST_SENIOR_FII,18.0,senior,FII
TAB_X_NR_COTST_SENIOR_OUTRO_FI,4440.0,senior,OUTRO_FI
TAB_X_NR_COTST_SENIOR_CLUBE,2.0,senior,CLUBE
TAB_X_NR_COTST_SENIOR_OUTRO,2481.0,senior,OUTRO
TAB_X_NR_COTST_SUBORD_PF,668.0,subordinada,PF
TAB_X_NR_COTST_SUBORD_PJ_NAO_FINANC,94.0,subordinada,PJ_NAO_FINANC
TAB_X_NR_COTST_SUBORD_BANCO,16.0,subordinada,BANCO
TAB_X_NR_COTST_SUBORD_CORRETORA_DISTRIB,9.0,subordinada,CORRETORA_DISTRIB
TAB_X_NR_COTST_SUBORD_PJ_FINANC,4.0,subordinada,PJ_FINANC
TAB_X_NR_COTST_SUBORD_INVNR,16.0,subordinada,INVNR
TAB_X_NR_COTST_SUBORD_EAPC,0.0,subordinada,EAPC
TAB_X_NR_COTST_SUBORD_EFPC,0.0,subordinada,EFPC
TAB_X_NR_COTST_SUBORD_RPPS,0.0,subordinada,RPPS
TAB_X_NR_COTST_SUBORD_SEGUR,0.0,subordinada,SEGUR
TAB_X_NR_COTST_SUBORD_CAPITALIZ,0.0,subordinada,CAPITALIZ
TAB_X_NR_COTST_SUBORD_COTA_FIDC,78.0,subordinada,COTA_FIDC
TAB_X_NR_COTST_SUBORD_FII,2.0,subordinada,FII
TAB_X_NR_COTST_SUBORD_OUTRO_FI,1204.0,subordinada,OUTRO_FI
TAB_X_NR_COTST_SUBORD_CLUBE,0.0,subordinada,CLUBE
TAB_X_NR_COTST_SUBORD_OUTRO,23.0,subordinada,OUTRO
