cnpj_investidor,DENOM_SOCIAL,vl,n_sinalizados,n_ligadas,cnpj,gestor
24774957000153,GAZIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1685981886.42,1,1,24774957000153,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,1057332494.4699999,5,0,03389374000139,BB GESTAO DE RECURSOS DTVM S.A
29044649000196,BRISA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,905079782.26,2,2,29044649000196,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA
35410929000173,COLISEU FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,783868599.17,1,1,35410929000173,XP INVESTIMENTOS CCTVM S.A.
35950535000108,JIVE SPV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,694793402.11,1,1,35950535000108,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.
09589223000100,SALUS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - CRÉDITO PRIVADO,620016202.99,1,0,09589223000100,LUME INVESTIMENTOS LTDA.
21205477000183,LONGEVITY FUNDO DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO,590129661.12,1,1,21205477000183,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA
01597187000115,SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,567555646.4,5,0,01597187000115,ITAU UNIBANCO ASSET MANAGEMENT LTDA.
48279484000186,SAPPHIRE I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,535140749.11,1,1,48279484000186,PORTOFINO GESTÃO DE RECURSOS LTDA.
57449291000117,PES FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO - CRÉDITO PRIVADO,518000319.36,1,1,57449291000117,NORTH SEA GESTORA DE RECURSOS LTDA.
53760057000155,SAPPHIRE II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,513693005.43,1,1,53760057000155,PORTOFINO GESTÃO DE RECURSOS LTDA.
54487736000165,SANTANDER HERA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RESP LIMITADA,511741022.82,1,1,54487736000165,BANCO SANTANDER (BRASIL) S.A.
38136992000151,AXXIA INVESTIMENTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MUTIMERCADO CP,501909965.67,1,1,38136992000151,CATÁLISE INVESTIMENTOS LTDA.
46778677000156,MIDGARD FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,452546273.76,1,0,46778677000156,BLUE SOLUTIONS ASSET MANAGEMENT LTDA.
47166927000160,SOMME FUNDO DE INVESTIMENTO MULTIMERCADO  CRÉDITO PRIVADO,446717388.73,1,1,47166927000160,NORTH SEA GESTORA DE RECURSOS LTDA.
18599004000101,SANTANDER PREV CRESCIMENTO RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA,426133326.54999995,7,0,18599004000101,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA
40054757000182,RUMBA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO  RESPONSABILIDADE LIMITADA,424575799.25,1,1,40054757000182,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.
01630558000113,SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA,403848416.58000004,3,0,01630558000113,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA
53760107000102,SAPPHIRE III FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,377068437.53,1,1,53760107000102,PORTOFINO GESTÃO DE RECURSOS LTDA.
05832360000173,BB ATACADO MISTO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO RESP LIM,360352522.74,4,0,05832360000173,BB GESTAO DE RECURSOS DTVM S.A
