DENOM_SOCIAL,CNPJ,DT_COMPTC,VL_PL,ADMIN,gestor
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,2025-06-30,4111150561.63,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,34081900000122,2025-06-30,1898734116.6,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
GOLDEN BRIDGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,46879223000171,2025-06-30,1299418794.82,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
RAIKKONEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53313856000183,2025-06-30,836880245.18,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
BOULIAC FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,60399596000176,2025-06-30,803453619.67,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
COPERNICUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,48699902000194,2025-06-30,521514895.41,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
MTPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADO,49124193000181,2025-06-30,449373934.19,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG PORTFÓLIO SOLUTIONS LTDA.
HAKKINEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57270081000167,2025-06-30,448020654.29,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
PLÊIADES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46879137000169,2025-06-30,447998792.2,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
LEGACY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52967434000169,2025-06-30,387796880.0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.
