gestor,pl_total_gestor,pl_sinalizado,n_veiculos_sinalizados,n_veiculos,pct_carteira_sinalizada
BB GESTAO DE RECURSOS DTVM S.A,61306056618.36,61254971563.01,1,2,0.9991667209054399
BANCO BRADESCO S.A.,40617024971.95,32036223662.749996,15,31,0.7887388031219451
REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,17759050075.13,11541449398.0,3,31,0.6498911455947067
PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,13631555370.36,11217560823.66,13,58,0.8229112906698153
INTEGRAL INVESTIMENTOS LTDA.,14952034155.36,9919462970.45,4,21,0.6634189614189768
BANCO BTG PACTUAL S/A,25300719043.449997,8129765904.769999,4,9,0.3213254884498898
XP INVESTIMENTOS CCTVM S.A.,8006830008.849999,7589239250.88,2,3,0.9478456820603868
SOLIS INVESTIMENTOS S A,27792860566.0,7495861029.570001,24,115,0.2697045527850399
KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,11064485486.3,6930325283.47,5,44,0.6263576640821754
TERCON INVESTIMENTOS S.A.,24709216072.04,6807534723.86,28,237,0.27550589642393164
CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,28605913809.79,6705589917.740001,5,19,0.23441271487873602
M8 PARTNERS GESTORA DE RECURSOS LTDA.,12135850917.31,4271088594.46,12,57,0.3519397711426994
JUS CAPITAL GESTÃO DE RECURSOS LTDA.,12239427645.11,4121216914.0600004,8,34,0.33671647347876954
OURO PRETO GESTÃO DE RECURSOS S.A.,12604256346.1,4115223363.7599998,12,101,0.32649473723480155
ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,14725435642.86,4016972863.58,7,42,0.27279144474939393
BLUE SOLUTIONS ASSET MANAGEMENT LTDA.,5363322995.440001,3441656777.81,3,21,0.6417023141690631
VCM GESTÃO DE CAPITAL LTDA,3695132071.0899997,2956554648.1,5,24,0.800121508844437
REDASSET GESTAO DE RECURSOS LTDA,9860601746.21,2841224802.24,2,9,0.2881390888068314
WNT GESTORA DE RECURSOS LTDA,3702575986.95,2548696043.82,3,33,0.6883575253561482
BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,23376315185.05,2470611404.78,5,19,0.10568865902184814
VERSAL FINANCE GESTÃO DE RECURSOS LTDA,4998717889.66,2311037922.26,2,12,0.4623261350756466
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2974639365.2799997,1689386997.13,2,5,0.567930020979528
INVISTA GESTORA DE RECURSOS LTDA.,3584162623.09,1679115025.78,2,4,0.46848181914591563
GV ATACAMA CAPITAL LTDA.,6030432637.29,1671568449.68,3,33,0.27718881052474237
TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2094619513.96,1666972490.26,1,9,0.7958354627893691
JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,8334239347.5,1562817579.79,4,30,0.18751772232924824
PORTOFINO GESTÃO DE RECURSOS LTDA.,4381929340.41,1425902192.06,1,11,0.3254051084097545
QUADRA GESTÃO DE RECURSOS S.A.,3631800061.99,1314678650.55,3,23,0.3619909213365777
SUESTE CAPITAL GESTÃO DE RECURSOS LTDA,3871791301.66,1160906711.41,2,19,0.29983710922442297
NORTH SEA GESTORA DE RECURSOS LTDA.,1186531901.09,1140979143.6200001,3,7,0.9616084848387532
CAIXA ECONOMICA FEDERAL,1125156839.8799999,1122503422.27,1,2,0.9976417353421743
APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,5291812507.03,1021048015.2299999,4,18,0.19294863789553598
MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,3628908473.83,942242782.5799999,3,35,0.2596490899054128
ASAROCK ASSET MANAGEMENT LTDA.,2907130795.28,933138902.77,1,11,0.3209827725278266
ARTESANAL MCMS LTDA,2120229020.76,873072473.66,3,9,0.4117821542443776
CATÁLISE INVESTIMENTOS LTDA.,9641917526.1,831735589.33,2,106,0.08626246668036204
SMART AGRO INVESTIMENTOS LTDA.,8773843201.0,812145748.68,1,11,0.09256442474233362
REDITUS INVESTIMENTOS LTDA,802801274.96,802801274.96,1,1,1.0
MAKENA GESTORA DE RECURSOS LTDA.,782971622.66,782971622.66,2,2,1.0
ORRAM GESTÃO DE RECURSOS LTDA.,8718031319.94,780638189.72,3,39,0.08954294393672499
BBS ASSET MANAGEMENT - ADMINISTRADORA DE RECURSOS LTDA,1032744649.21,767510008.24,1,8,0.7431750034503769
