DENOM_SOCIAL,CNPJ,VL_PL,dc,inad_pct,pr_max,red_flag,roll_12m,dc_medio,razao_rolagem,n_cot,COTST_INTERESSE,subord,DT_COMPTC,pl_ant,var,pl_12m,crescimento
FIDC DO SISTEMA PETROBRAS,09195235000150,61254971563.01,58239773982.06,0.0,95.08,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,10010957003.11,9443495620.98,0.0,94.33,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52610624000124,7350884666.57,7365283084.6,0.0,96.57,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26286939000158,6479950762.42,6096322521.75,0.0,94.08,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,54979779000168,3677016076.94,3568445607.68,0.0,97.05,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,29492605000129,2494236413.23,2448527263.56,5.144753823032657e-06,81.2,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
VITA AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50095909000149,2489750068.19,2186604951.8,0.0,65.62,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VALE,13321819000100,2110355080.85,2098119640.26,0.0,99.42,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62838025000116,2004513902.3,1815548371.9,0.0,89.0,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,31739396000117,1385981646.72,1292132432.54,0.0,93.23,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,05754060000113,1666972490.26,1276051396.17,0.0,66.54,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,28279473000199,1844741719.62,1199658157.42,0.0,64.76,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS IV ENERGISA CENTRO OESTE,15254301000119,1122503422.27,951129737.52,0.0,52.45,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54810968000102,965301307.96,948714799.13,4.911142952837559e-05,98.29,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
MOAB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS,60487508000198,914908738.26,853577232.83,0.0,87.98,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SAPPHIRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,47227790000106,1425902192.06,760942014.37,0.0,53.37,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS CONSIG PREMIUM I RESPONSABILIDADE  LIMITADA,66226355000101,748831543.44,746388857.97,0.0,99.67,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT FGTS RECEIVABLES II,54464892000100,697493758.97,693227798.79,0.0001456579066451837,84.3,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,09115244000194,694519721.34,675364435.48,0.0,97.24,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CHEMICAL XV - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,67063613000149,749412873.0,613376180.48,0.0,81.85,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TURBI I DE RESPONSABILIDADE LIMITADA,49936440000144,590453123.13,578376873.11,0.0,97.95,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT FGTS RECEIVABLES IV,62010175000137,553851632.17,550240597.54,0.00010090298725361479,99.36,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ATENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO INFRAESTRUTURA DE RESP LIMITADA,65411764000115,511741022.82,510286080.21,0.0,99.72,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
UNITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,38137056000165,501909965.66,502049824.03,0.0,63.4,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ARC DIP JS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,52363951000129,484118379.9,496074813.75,0.0,93.23,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SERENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53293984000102,865057055.5,483335123.5,0.0,55.76,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SUMUP SMART I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,62626409000175,459711342.54,454396871.82,0.0,98.84,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,08661352000108,454435894.87,454274736.67,0.0,99.96,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
VNMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,48904297000146,454418402.05,454274736.67,0.0,99.97,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
VLBM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,48903717000170,454418489.95,454274736.67,0.0,99.97,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CEPOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60115335000187,426162106.52,426008824.44,0.0,57.0,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
TAYA TECH FGTS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57584334000177,420305555.84,419315551.45,0.00017818444782606452,68.76,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51957370000152,416057702.27,410940884.37,9.337608269088858e-05,83.17,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SUMUP SMART II FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,62627051000103,408290802.91,403253248.03,0.0,98.84,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
PFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,50312715000158,400067890.1,391637626.38,0.0,95.0,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CROWN OCEAN CAPITAL CREDITS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,18676119000144,372748610.13,371945741.0,0.0,99.78,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ARES FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,44062556000188,352158020.63,348894895.88,0.0,99.07,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,62626887000185,356847386.67,347991200.65,0.0,97.52,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CERES CONFINA FIAGRO RESPONSABILIDADE LIMITADA,42336323000109,388016649.48,347969460.70000005,0.0,89.25,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ENDURANCE INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36953080000147,550804156.07,337363512.14,0.0,61.25,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA,09443633000149,312198831.01,305133438.88,0.0,97.74,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
TAYA FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54968056000163,295849655.91,293719827.88,0.00018435854464044909,51.23,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CENTRO SUL CONCESSOES FIDC DE RESPONSABILIDADE LIMITADA,57088244000195,288349194.25,287396631.03,0.0,99.67,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SPS ALGARVE DELTA CRÉDITOS JUDICIAIS FIDC DE RESPONSABILIDADE LIMITADA,46449843000170,282130262.87,281977781.37,0.0,99.95,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
GALAPAGOS SPECIAL OPPORTUNITIES INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,60696539000159,276186525.39,272872795.71,0.0,96.56,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CANAL 47 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,32388169000157,284021764.96,272015366.85,0.0,81.15,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
DISAM CASH - FIDC AGRONEGÓCIO DE RESPONSABILIDADE ILIMITADA,24270541000106,273574186.12,267147237.35,0.0,97.65,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ASAAS III - RESPONSABILIDADE LIMITADA,61292200000150,308073444.29,263285028.89,0.0,85.0,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42085830000109,308205214.77,255414395.99,0.0,82.67,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
EUCALIPTO FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE  LIMITADA,66358370000103,254302931.07,252827829.07,0.0,99.42,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
DIGGER FIDC - SEGMENTO DE RECEBÍVEIS COMERCIAIS - RESPONSABILIDADE LIMITADA,62387472000104,304341088.96,249498514.47,0.0,72.69,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
