CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,classificacao,score_risco,materialidade_max_rs,materialidade_soma_rs,forca_evidencia,obs_disparados,der_disparados,cobertura_dados_pct,n_avaliaveis,n_disparos,n_disparos_persistentes,n_criticos,n_altos,persistencia_media_meses,atualidade,peso_disponivel,peso_disparado
26631527000108,FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,0.0,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,não classificável,35.71,0.0,0.0,1.0,1.0,0.0,10.87,5,1,1.0,1.0,0.0,8.0,2026-06-30,28.0,10.0
44585657000133,MONET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,0.0,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,35.71,0.0,0.0,1.0,1.0,0.0,10.87,5,1,1.0,1.0,0.0,6.0,2026-06-30,28.0,10.0
45880798000141,FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS QUASAR CREDIT SOLUTI,0.0,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,não classificável,35.71,0.0,0.0,1.0,1.0,0.0,10.87,5,1,1.0,1.0,0.0,7.0,2026-06-30,28.0,10.0
51863167000117,VALORAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,0.0,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,35.71,0.0,0.0,1.0,1.0,0.0,10.87,5,1,1.0,1.0,0.0,6.0,2026-06-30,28.0,10.0
53471524000127,SURRIENTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,0.0,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,35.71,0.0,0.0,1.0,1.0,0.0,10.87,5,1,1.0,1.0,0.0,6.0,2026-06-30,28.0,10.0
63700113000110,NC 2025 I FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,0.0,INTRAG DTVM LTDA.,não classificável,34.78,5655088696.55,5655088696.55,0.5,1.0,1.0,19.57,9,2,2.0,1.0,1.0,1.0,2026-06-30,46.0,16.0
12660462000114,FC3 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA,-650516.73,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,34.48,650516.73,650516.73,1.0,1.0,0.0,13.04,6,1,1.0,1.0,0.0,13.0,2026-06-30,29.0,10.0
12660458000156,FC4 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,-539511.02,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,34.48,539511.02,539511.02,1.0,1.0,0.0,13.04,6,1,1.0,1.0,0.0,13.0,2026-06-30,29.0,10.0
12660468000191,FC5 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA,-301212.88,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,34.48,301212.88,301212.88,1.0,1.0,0.0,13.04,6,1,1.0,1.0,0.0,13.0,2026-06-30,29.0,10.0
12565143000120,FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,-298843.23,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,não classificável,34.48,298843.23,298843.23,1.0,1.0,0.0,13.04,6,1,1.0,1.0,0.0,13.0,2026-06-30,29.0,10.0
