razao_social,cnpj,grupo,setor,tipo_processo,data_evento,status_processual,tribunal,numero_processo,divida_noticiada_rs,exposicao_fidc_noticiada,natureza_ligacao_fidc,e_cedente_na_base_fidc,nivel_evidencia,fonte_url,observacao
PARANAPANEMA S.A. - EM RECUPERACAO JUDICIAL,60398369000479,Paranapanema,Metalurgia do cobre,Recuperação judicial,2023-11-16,plano aprovado (2º aditamento protocolado em 12/02/2025; acordo de liquidação parcial em 2026),TJSP — 1ª Vara Reg. Comp. Empresarial e Conflitos à Arbitragem (São Paulo),1001409-24.2022.8.26.0260,4697000000 (Acordo Global com credores financeiros em 31/12/2025),,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 1 veículo, exposição estimada R$ 686,4 mi, posição ativa até 2026-07",fato confirmado por fonte primária,https://acionista.com.br/paranapanema-s-a-protocola-nova-proposta-de-recuperacao-judicial-em-2025/ ; https://www.brasilmineral.com.br/noticias/paranapanema-inicia-acordo-de-liquidacao-parcial ; Cadastro CNPJ/RFB,Razão social no cadastro CNPJ já traz o sufixo legal de RJ. Companhia aberta (PMAM3); segue operando.
COMPANHIA ACUCAREIRA PARAISO EM RECUPERACAO JUDICIAL,28963189000137,Usina Paraíso,Fabricação de açúcar em bruto,Recuperação judicial,,em curso (processo com cerca de 8 anos de tramitação),TJRJ — 4ª Vara Cível da Comarca de Campos dos Goytacazes,,,,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 1 veículo, exposição estimada R$ 625,2 mi",fato confirmado por fonte primária,https://www.portalviu.com.br/fonte-exclusiva/recuperacao-judicial-da-usina-paraiso-e-um-negocio-escandaloso ; https://www.econodata.com.br/consulta-empresa/28963189000307-companhia-acucareira-paraiso-em-recuperacao-judicial ; Cadastro CNPJ/RFB,Data de deferimento não localizada em fonte pública confiável — campo deixado vazio.
NASSAU ADMINISTRACAO E PARTICIPACOES LTDA - EM RECUPERACAO JUDICIAL,08662033000109,Grupo João Santos (Cimento Nassau),Cimento / sucroalcooleiro / holding,Recuperação judicial,2022-12-23,deferimento do processamento,TJPE (Recife) — grupo João Santos,,13000000000 (passivo do grupo noticiado),,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 1 veículo, exposição estimada R$ 462,5 mi",fato confirmado por fonte primária,"https://jornalfato.com.br/cidades/justica-aprova-pedido-de-recuperacao-judicial-de-grupo-dono-da-cimento-nassau,422975.jhtml ; https://tribunaonline.com.br/economia/justica-homologa-a-recuperacao-judicial-do-grupo-joao-santos-229355 ; Cadastro CNPJ/RFB","Dívida de R$ 13 bi é do grupo econômico, não desta pessoa jurídica isolada."
MENDO SAMPAIO S/A - EM RECUPERACAO JUDICIAL,10776540000115,Mendo Sampaio,Sucroalcooleiro (PE),Recuperação judicial,,em curso,,,,,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 5 veículos, exposição estimada R$ 360,8 mi",fato confirmado por fonte primária,https://www.jusbrasil.com.br/busca?q=mendo+sampaio+s%2Fa+-+em+recupera%C3%A7%C3%A3o+judicial ; Cadastro CNPJ/RFB,"RJ confirmada pelo sufixo legal no cadastro CNPJ. Data, tribunal e valor não localizados em fonte pública — campos vazios em vez de estimados. Cedente presente em 5 veículos, a maior recorrência do bloco."
CERVEJARIA PETROPOLIS S/A - EM RECUPERACAO JUDICIAL,73410326000160,"Grupo Petrópolis (Itaipava, Crystal, Petra)",Bebidas,Recuperação judicial,2023-10-24,"plano aprovado e homologado (aprovado por 96,4% dos credores em 11/09/2023; homologado em 24/10/2023)",TJRJ — 5ª Vara Empresarial do Rio de Janeiro,,5600000000,,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 4 veículos, exposição estimada R$ 193,2 mi",fato confirmado por fonte primária,https://www.poder360.com.br/justica/credores-do-grupo-petropolis-aprovam-recuperacao-judicial/ ; https://www.grupopetropolis.com.br/justica-homologa-plano-de-recuperacao-judicial-do-grupo-petropolis/ ; Cadastro CNPJ/RFB,"Mais de 5.000 credores. Credores com garantia real com deságio noticiado de 70%, pagamento até dez/2035."
ESTOK COMERCIO E REPRESENTACOES S.A. - EM RECUPERACAO JUDICIAL,49732175000182,Tok&Stok / Grupo Toky (com Mobly),Varejo de móveis,"Recuperação extrajudicial homologada (2024), seguida de recuperação judicial",2026-06-18,"lista de credores apresentada em RJ (jun/2026); antes, plano de recuperação extrajudicial homologado",TJSP — 2ª Vara de Falências e Recuperações Judiciais (São Paulo),4080549-12.2026.8.26.0100,640000000 (dívidas financeiras e partes relacionadas no PRE),,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 1 veículo, exposição estimada R$ 149,3 mi",fato confirmado por fonte primária,https://www.tjsp.jus.br/Noticias/Noticia?codigoNoticia=105120 ; https://ajruiz.com.br/sites/default/files/public/arquivos-processos/2026-06/2._relacao_de_credores_260618.pdf ; Cadastro CNPJ/RFB,"Lista de credores conjunta com Estok Distribuidora, Grupo Toky e subsidiárias Mobly."
CVLB BRASIL S.A. - EM RECUPERACAO JUDICIAL (Casa & Video / Le Biscuit),16233389000155,Grupo CVLB,Varejo,Recuperação judicial,2026-05-05,deferimento do processamento (pedido em 28/04/2026; deferido em 05/05/2026; precedido de tutela cautelar em jan/2026),TJRJ — 1ª Vara Empresarial da Comarca da Capital,,1710000000,"7,6% da dívida da RJ em FIDCs (levantamento Chimera Capital)",cedente de direitos creditórios em FIDC e devedora de credores FIDC,"sim — CNPJ idêntico presente na tabela cedentes, posição ativa até 2026-07",fato confirmado por fonte primária,https://centraldovarejo.com.br/casa-video-entra-com-novo-pedido-de-recuperacao-judicial-com-passivo-estimado-em-r-171-bilhao/ ; https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/,Segunda RJ do grupo. Caso em que o FIDC acumula os dois papéis: comprou recebíveis cedidos pela empresa e figura como credor na RJ.
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,12104241000402,Oncoclínicas (ONCO3),Saúde,Recuperação EXTRAjudicial,2026-08-04,deferimento do processamento (pedido em 13/07/2026; deferido em 04/08/2026; stay de 180 dias),TJSP — 3ª Vara de Falências e Recuperações Judiciais do Foro Central (São Paulo),4126842-40.2026.8.26.0100,5100000000 (dívidas financeiras quirografárias),"91,4% da dívida em crédito estruturado, predominantemente CRIs (levantamento Chimera Capital, que apurou R$ 3,2 bi de dívida na data do estudo)",cedente de direitos creditórios em FIDC (posição encerrada em 2025-10),sim — CNPJ idêntico presente na tabela cedentes; última competência 2025-10,fato confirmado por fonte primária,https://forbes.com.br/forbes-money/2026/08/oncoclinicas-recuperacao-extrajudicial/ ; https://capitalaberto.com.br/empresas/2026/07/oncoclinicas-pede-recuperacao-extrajudicial-para-reestruturar-divida-de-r-51bi ; https://creditoprivado360.com.br/2026/05/12/onda-de-recuperacoes-judiciais-ja-comprometeu-r-4-bi-de-fidcs-em-2026/,"ATENÇÃO: é recuperação EXTRAjudicial, não judicial — por isso a razão social não recebe o sufixo do art. 69. Exposição estruturada é majoritariamente CRI, não FIDC. Cessões ao FIDC cessaram cerca de 9 meses antes do pedido."
GRUPO CASAS BAHIA S.A.,33041260065290,Grupo Casas Bahia (ex-Via),Varejo,Recuperação EXTRAjudicial,2024-06-19,plano homologado (pedido em 28/04/2024; homologado em 19/06/2024),TJSP (São Paulo),,4100000000,,cedente de direitos creditórios em FIDC,"sim — CNPJ idêntico, 7 veículos, exposição estimada R$ 1,096 bi (27º maior cedente do ranking)",fato confirmado por fonte primária,https://www.poder360.com.br/justica/justica-aprova-plano-de-recuperacao-extrajudicial-da-casas-bahia/ ; https://dcomercio.com.br/publicacao/s/plano-de-recuperacao-extrajudicial-da-casas-bahia-e-homologado,"Recuperação EXTRAjudicial: não gera sufixo no nome empresarial nem stay period amplo, e alcança apenas os credores aderentes. Plano pré-acordado com credores detentores de 54,5% da dívida; amortização em 78 meses."
AGROGALAXY PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL,21240146000184,AgroGalaxy (AGXY3),Distribuição de insumos agrícolas,Recuperação judicial,2024-09-18,plano homologado (pedido em 18/09/2024; plano homologado após ~8 meses),TJGO — 19ª Vara Cível e Ambiental da Comarca de Goiânia,,4600000000,carteira de recebíveis de ~R$ 760 mi colocada à venda no plano,"cedente de direitos creditórios (desconto de recebíveis) junto ao FIDC Terra Magna, retomado em jan/2025 após 4 meses de suspensão","sim — CNPJ idêntico presente na tabela cedentes, competências 2026-05 e 2026-06 (cessões OCORRIDAS DURANTE a recuperação judicial)",fato confirmado por fonte primária,https://agrogalaxy.com.br/wp-content/uploads/2024/10/Fato-Relevante-Deferimento-Recuperacao-Judicial.pdf ; https://br.advfn.com/jornal/2025/01/agrogalaxy-firma-acordo-com-fidc-terra-magna-para-a-retomada-da-operacao-de-descontos-de-recebiveis ; https://neofeed.com.br/negocios/em-recuperacao-judicial-agrogalaxy-quer-vender-carteira-de-credito-de-r-760-milhoes/,"Ligação com FIDC documentada por fato relevante e imprensa, e confirmada por CNPJ na nossa base. O TJ-GO decidiu que créditos com cessão fiduciária de recebíveis NÃO se submetem à RJ (extraconcursais, art. 49 §3º) — ilustração direta da distinção do §6 da metodologia. Caso exemplar do regime da Resolução CVM 240/2026: empresa em RJ cedendo recebíveis performados a FIDC."
