doc_cedente,razao_social_cedente,exposicao_estimada,n_veiculos,cnpj_empresa_rj,razao_social_rj,evento,data_evento,tribunal,papel_fidc,chave_casamento,nivel_evidencia,fonte,observacao
33041260065290,GRUPO CASAS BAHIA S.A.,1096249067.7657492,7,33041260065290,GRUPO CASAS BAHIA S.A.,plano homologado (pedido em 28/04/2024; homologado em 19/06/2024),2024-06-19,TJSP (São Paulo),FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://www.poder360.com.br/justica/justica-aprova-plano-de-recuperacao-extrajudicial-da-casas-bahia/ ; https://dcomercio.com.br/publicacao/s/plano-de-recuperacao-extrajudicial-da-casas-bahia-e-homologado,"Recuperação EXTRAjudicial: não gera sufixo no nome empresarial nem stay period amplo, e alcança apenas os credores aderentes. Plano pré-acordado com credores detentores de 54,5% da dívida; amortização em 78 meses."
60398369000479,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,686358432.7976251,1,60398369000479,PARANAPANEMA S.A. - EM RECUPERACAO JUDICIAL,plano aprovado (2º aditamento protocolado em 12/02/2025; acordo de liquidação parcial em 2026),2023-11-16,TJSP — 1ª Vara Reg. Comp. Empresarial e Conflitos à Arbitragem (São Paulo),FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://acionista.com.br/paranapanema-s-a-protocola-nova-proposta-de-recuperacao-judicial-em-2025/ ; https://www.brasilmineral.com.br/noticias/paranapanema-inicia-acordo-de-liquidacao-parcial ; Cadastro CNPJ/RFB,Razão social no cadastro CNPJ já traz o sufixo legal de RJ. Companhia aberta (PMAM3); segue operando.
28963189000137,COMPANHIA ACUCAREIRA PARAISO EM RECUPERACAO JUDICIAL,625229990.04933,1,28963189000137,COMPANHIA ACUCAREIRA PARAISO EM RECUPERACAO JUDICIAL,em curso (processo com cerca de 8 anos de tramitação),,TJRJ — 4ª Vara Cível da Comarca de Campos dos Goytacazes,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://www.portalviu.com.br/fonte-exclusiva/recuperacao-judicial-da-usina-paraiso-e-um-negocio-escandaloso ; https://www.econodata.com.br/consulta-empresa/28963189000307-companhia-acucareira-paraiso-em-recuperacao-judicial ; Cadastro CNPJ/RFB,Data de deferimento não localizada em fonte pública confiável — campo deixado vazio.
08662033000109,NASSAU ADMINISTRACAO E PARTICIPACOES LTDA - EM RECUPERACAO JUDICIAL,462490548.859125,1,08662033000109,NASSAU ADMINISTRACAO E PARTICIPACOES LTDA - EM RECUPERACAO JUDICIAL,deferimento do processamento,2022-12-23,TJPE (Recife) — grupo João Santos,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,"https://jornalfato.com.br/cidades/justica-aprova-pedido-de-recuperacao-judicial-de-grupo-dono-da-cimento-nassau,422975.jhtml ; https://tribunaonline.com.br/economia/justica-homologa-a-recuperacao-judicial-do-grupo-joao-santos-229355 ; Cadastro CNPJ/RFB","Dívida de R$ 13 bi é do grupo econômico, não desta pessoa jurídica isolada."
10776540000115,MENDO SAMPAIO S/A - EM RECUPERACAO JUDICIAL,360784568.35138,4,10776540000115,MENDO SAMPAIO S/A - EM RECUPERACAO JUDICIAL,em curso,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://www.jusbrasil.com.br/busca?q=mendo+sampaio+s%2Fa+-+em+recupera%C3%A7%C3%A3o+judicial ; Cadastro CNPJ/RFB,"RJ confirmada pelo sufixo legal no cadastro CNPJ. Data, tribunal e valor não localizados em fonte pública — campos vazios em vez de estimados. Cedente presente em 5 veículos, a maior recorrência do bloco."
73410326000160,CERVEJARIA PETROPOLIS S/A - EM RECUPERACAO JUDICIAL,193192502.651055,1,73410326000160,CERVEJARIA PETROPOLIS S/A - EM RECUPERACAO JUDICIAL,"plano aprovado e homologado (aprovado por 96,4% dos credores em 11/09/2023; homologado em 24/10/2023)",2023-10-24,TJRJ — 5ª Vara Empresarial do Rio de Janeiro,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://www.poder360.com.br/justica/credores-do-grupo-petropolis-aprovam-recuperacao-judicial/ ; https://www.grupopetropolis.com.br/justica-homologa-plano-de-recuperacao-judicial-do-grupo-petropolis/ ; Cadastro CNPJ/RFB,"Mais de 5.000 credores. Credores com garantia real com deságio noticiado de 70%, pagamento até dez/2035."
49732175000182,ESTOK COMERCIO E REPRESENTACOES S.A. - EM RECUPERACAO JUDICIAL,149330247.0132,1,49732175000182,ESTOK COMERCIO E REPRESENTACOES S.A. - EM RECUPERACAO JUDICIAL,"lista de credores apresentada em RJ (jun/2026); antes, plano de recuperação extrajudicial homologado",2026-06-18,TJSP — 2ª Vara de Falências e Recuperações Judiciais (São Paulo),FIDC com exposição a cedente em RJ,CNPJ (idêntico) — presente no ranking de cedentes,fato confirmado por fonte primária,https://www.tjsp.jus.br/Noticias/Noticia?codigoNoticia=105120 ; https://ajruiz.com.br/sites/default/files/public/arquivos-processos/2026-06/2._relacao_de_credores_260618.pdf ; Cadastro CNPJ/RFB,"Lista de credores conjunta com Estok Distribuidora, Grupo Toky e subsidiárias Mobly."
11442110000120,ART VIAGENS E TURISMO LTDA EM RECUPERACAO JUDICIAL,93053818.8266,2,11442110000120,ART VIAGENS E TURISMO LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
06069438000102,MARTINS RIBEIRO PARTICIPACOES LTDA - EM RECUPERACAO JUDICIAL,79038004.34910598,1,06069438000102,MARTINS RIBEIRO PARTICIPACOES LTDA - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
03311116000130,"TCI BPO - TECNOLOGIA, CONHECIMENTO E INFORMACAO LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL",63578439.28196,1,03311116000130,"TCI BPO - TECNOLOGIA, CONHECIMENTO E INFORMACAO LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL",recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
14947900000155,RURAL BRASIL LTDA EM RECUPERACAO JUDICIAL,58501193.75451001,2,14947900000155,RURAL BRASIL LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
76535764000143,OI S.A. - EM RECUPERACAO JUDICIAL,53704142.71357799,1,76535764000143,OI S.A. - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
04409153000148,SAFRAS AGROINDUSTRIA S/A EM RECUPERACAO JUDICIAL,41640058.76127,1,04409153000148,SAFRAS AGROINDUSTRIA S/A EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
49957137000128,TERMAQ TERRAPLENAGEM CONSTRUCAO CIVIL E ESCAVACOES LTDA EM RECUPERACAO JUDICIAL,41536206.0123,1,49957137000128,TERMAQ TERRAPLENAGEM CONSTRUCAO CIVIL E ESCAVACOES LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
12265245000120,USINAS REUNIDAS SERESTA S/A - EM RECUPERACAO JUDICIAL,37934878.406832,1,12265245000120,USINAS REUNIDAS SERESTA S/A - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
62258884000136,INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL,37188879.69843,1,62258884000136,INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
44463156000184,SERVIMED COMERCIAL LTDA EM RECUPERACAO JUDICIAL,34545345.55793,3,44463156000184,SERVIMED COMERCIAL LTDA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
11114284000163,CASA E VIDEO BRASIL S.A. - EM RECUPERACAO JUDICIAL,33162622.101117,2,11114284000163,CASA E VIDEO BRASIL S.A. - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
05366261000143,NUTRI AGROINDUSTRIA S.A. - EM RECUPERACAO JUDICIAL,32775136.59402,2,05366261000143,NUTRI AGROINDUSTRIA S.A. - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
16988607000161,MM TURISMO & VIAGENS S.A EM RECUPERACAO JUDICIAL,29402718.844800003,1,16988607000161,MM TURISMO & VIAGENS S.A EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
63460299000187,DUCOCO ALIMENTOS S/A EM RECUPERACAO JUDICIAL,27503857.724141,1,63460299000187,DUCOCO ALIMENTOS S/A EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
40938762000158,BAXI FOODS S.A. - EM RECUPERACAO JUDICIAL,24323222.42201,1,40938762000158,BAXI FOODS S.A. - EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
79131918000120,NOMA DO BRASIL SOCIEDADE ANONIMA EM RECUPERACAO JUDICIAL,21098318.93038,4,79131918000120,NOMA DO BRASIL SOCIEDADE ANONIMA EM RECUPERACAO JUDICIAL,recuperação judicial,,,FIDC com exposição a cedente em RJ,CNPJ (idêntico) — razão social do cadastro CNPJ/RFB,fato confirmado por fonte primária,Cadastro CNPJ/Receita Federal via minhareceita.org; Lei 11.101/2005 art. 69 (sufixo obrigatório),Empresa figura como cedente de direitos creditórios em FIDC e seu nome empresarial registrado já traz o sufixo de RJ. Estar em RJ não é indício de irregularidade.
