tribunal,classe_nome,mes,n_processos
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-08,5
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-09,13
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-10,16
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-11,14
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-12,8
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-01,12
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-02,12
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-03,13
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-04,12
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-05,20
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06,15
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07,10
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-08,13
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-09,19
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-10,16
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11,5
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-12,9
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-01,7
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-02,6
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-03,9
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-04,13
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-05,10
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-06,7
TJMG,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-07,1
TJMG,Recuperação Judicial,2024-08,8
TJMG,Recuperação Judicial,2024-09,8
TJMG,Recuperação Judicial,2024-10,9
TJMG,Recuperação Judicial,2024-11,21
TJMG,Recuperação Judicial,2024-12,13
TJMG,Recuperação Judicial,2025-01,3
TJMG,Recuperação Judicial,2025-02,17
TJMG,Recuperação Judicial,2025-03,21
TJMG,Recuperação Judicial,2025-04,15
TJMG,Recuperação Judicial,2025-05,13
TJMG,Recuperação Judicial,2025-06,10
TJMG,Recuperação Judicial,2025-07,17
TJMG,Recuperação Judicial,2025-08,18
TJMG,Recuperação Judicial,2025-09,15
TJMG,Recuperação Judicial,2025-10,14
TJMG,Recuperação Judicial,2025-11,10
TJMG,Recuperação Judicial,2025-12,8
TJMG,Recuperação Judicial,2026-01,11
TJMG,Recuperação Judicial,2026-02,8
TJMG,Recuperação Judicial,2026-03,10
TJMG,Recuperação Judicial,2026-04,10
TJMG,Recuperação Judicial,2026-05,9
TJMG,Recuperação Judicial,2026-06,8
TJMG,Recuperação Judicial,2026-07,2
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-08,2
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-09,10
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-10,4
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-11,10
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-12,8
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-01,1
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-02,5
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-03,5
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-04,11
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-05,10
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06,6
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07,7
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-08,11
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-09,15
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-10,11
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11,8
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-12,8
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-01,4
TJPR,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-02,7
