DT_COMPTC,n_veiculos_painel,n_veiculos_com_tab_viii,pct_veiculos,n_veiculos_com_dc_positivo,n_com_dc_e_tab_viii,pct_veiculos_com_dc,dc_mercado,dc_com_tab_viii,pct_dc_coberto
2025-01-31,3195,3029,0.9480438184663537,2478,2434,0.9822437449556094,545889484928.1902,541918663004.7601,0.9927259600467437
2025-02-28,3257,3060,0.9395148910039914,2527,2464,0.9750692520775623,553900586716.3921,548408761516.6018,0.9900851789445708
2025-03-31,3319,3114,0.9382344079542031,2558,2497,0.9761532447224394,560465964709.5591,554083472217.1196,0.9886121675635613
2025-04-30,3391,3198,0.9430846358006488,2601,2562,0.9850057670126874,563933419380.0098,559478572397.9098,0.9921004025847632
2025-05-31,3467,3285,0.9475050475915777,2651,2622,0.989060731799321,569762823955.3701,562975108346.85,0.9880867699275308
2025-06-30,3592,3356,0.9342984409799554,2694,2659,0.9870081662954714,587660151806.5197,579378784431.1494,0.9859078970219223
2025-07-31,3647,3407,0.9341924869755964,2759,2711,0.9826023921710765,585728815208.6085,575044599723.9578,0.9817591089814396
2025-08-31,3717,3481,0.9365079365079365,2803,2762,0.9853728148412415,592475865848.4906,583786164337.1309,0.9853332396942193
2025-09-30,3758,3484,0.9270888770622672,2806,2730,0.9729151817533856,586394699096.8904,574106864005.13,0.9790451122585437
2025-10-31,3829,3530,0.9219117262992949,2851,2773,0.9726411785338478,612986021783.1516,604601442139.4613,0.9863217441414082
2025-11-30,3884,3559,0.916323377960865,2896,2800,0.9668508287292817,631326407209.4199,618507860702.11,0.9796958493088064
2025-12-31,4013,3315,0.8260652878146025,2949,2731,0.9260766361478467,641442491401.8312,585674813925.7205,0.9130589597296025
2026-01-31,4074,3094,0.7594501718213058,3003,2731,0.9094239094239094,639345960707.5907,559643387240.6199,0.8753373316400394
2026-02-28,4103,3091,0.7533512064343163,3019,2733,0.9052666445842994,642940542314.8115,559844563210.7496,0.870756355160172
2026-03-31,4154,3189,0.7676937891189215,3044,2785,0.9149145860709592,657261926149.5317,576084156323.5219,0.8764909899747618
2026-04-30,4228,2973,0.7031693472090823,3105,2711,0.8731078904991948,687509317184.4288,578118798388.4087,0.8408886744342471
2026-05-31,4261,2977,0.6986622858483924,3149,2706,0.8593204191806922,688720459611.0496,557943562420.2998,0.8101161431089108
2026-06-30,4327,2999,0.6930899006239889,3192,2706,0.8477443609022557,709739272476.9106,565487203480.3809,0.7967534352536162
2026-07-31,4206,2563,0.6093675701378982,3091,2326,0.7525072791976707,663596163753.6208,495194406014.2798,0.7462285544467598
