arquivo,competencia,linhas_lidas,duplicatas_removidas,linhas_mantidas,valores_nulos,valores_negativos,valores_zero
inf_mensal_fidc_tab_VIII_202501.csv,202501,35817,0,35817,0,0,2323
inf_mensal_fidc_tab_VIII_202502.csv,202502,36288,0,36288,0,0,2407
inf_mensal_fidc_tab_VIII_202503.csv,202503,37772,0,37772,0,0,2416
inf_mensal_fidc_tab_VIII_202504.csv,202504,38583,1,38582,0,0,2606
inf_mensal_fidc_tab_VIII_202505.csv,202505,39406,0,39406,0,0,2700
inf_mensal_fidc_tab_VIII_202506.csv,202506,39984,0,39984,0,0,2729
inf_mensal_fidc_tab_VIII_202507.csv,202507,40757,0,40757,0,0,2851
inf_mensal_fidc_tab_VIII_202508.csv,202508,42312,0,42312,0,0,2822
inf_mensal_fidc_tab_VIII_202509.csv,202509,42458,1,42457,0,0,3187
inf_mensal_fidc_tab_VIII_202510.csv,202510,42964,51,42913,0,0,3173
inf_mensal_fidc_tab_VIII_202511.csv,202511,43122,1,43121,0,1,3189
inf_mensal_fidc_tab_VIII_202512.csv,202512,39337,63,39274,0,1,1149
inf_mensal_fidc_tab_VIII_202601.csv,202601,39294,0,39294,0,0,948
inf_mensal_fidc_tab_VIII_202602.csv,202602,39249,0,39249,0,1,895
inf_mensal_fidc_tab_VIII_202603.csv,202603,40068,0,40068,0,1,968
inf_mensal_fidc_tab_VIII_202604.csv,202604,40707,0,40707,0,4,716
inf_mensal_fidc_tab_VIII_202605.csv,202605,40635,0,40635,0,2,703
inf_mensal_fidc_tab_VIII_202606.csv,202606,40887,0,40887,0,4,732
inf_mensal_fidc_tab_VIII_202607.csv,202607,37453,0,37453,0,3,670
