DT_COMPTC,n_veiculos,n_classes,n_fundos_legado,pl_total,dc_com_risco,dc_sem_risco,cotas_fidc_detidas,n_informou_cotas_fidc,n_informou_cotas_fidc_np,pl_liquido_circular,pl_exclusivos,pl_cotistas_interesse_unico,parcelas_inad_com_risco,parcelas_inad_sem_risco,n_cotistas,indice,pl_total_real_jun26
2013-01-31,412,0,412,69051990816.48003,23234447571.590004,34919749045.770004,1378838374.5400002,412,412,67673152441.940025,1629260982.7,7766659545.32,1476158552.19,,21460.0,1.01656794,145430439316.30524
2013-02-28,414,0,414,70227445134.45999,22393165870.2,34355553984.449993,1385096277.32,414,414,68842348857.13998,1510546465.26,8396616055.07,1613152292.6799998,,9087.0,1.0226673476400001,147023920836.11026
2013-03-31,417,0,417,68097326937.76999,22980713381.88,35208392531.43,1254959110.35,417,417,66842367827.41999,1612992481.72,8184429922.98,1426037284.62,,8599.0,1.027473884173908,141897516214.73413
2013-04-30,419,0,419,70202431319.89001,22614382768.95,35024212974.87999,1293323514.94,419,419,68909107804.95001,1696948243.0299997,8520049506.92,1490469561.99,,8829.0,1.0331249905368645,145483857328.19968
2013-05-31,417,0,417,82130414632.11,22768501025.249996,40124833342.78,1407797233.1100001,417,417,80722617399.0,1700641536.27,9285518404.460001,1611310095.32,,8787.0,1.0369475530018508,169575359023.75363
2013-06-30,415,0,415,93007240019.91,22432757101.879997,42785463657.22,1181258608.5700002,415,415,91825981411.34,2081372036.0300002,9104708728.62,1516691508.1899998,,8817.0,1.0396436166396557,191534841449.3233
2013-07-31,420,0,420,89103816885.98003,22281377977.550003,49187589956.979996,945197420.3199999,420,420,88158619465.66002,1710031446.5500002,8668121698.53,1671055176.6299999,,8450.0,1.0399555097246476,183441278614.70248
2013-08-31,420,0,420,83429386915.90001,22321874341.920006,49347391027.48999,974531093.86,420,420,82454855822.04001,1813458736.5,8494642263.53,1621518087.03,,8389.0,1.0424514029479868,171347887683.54803
2013-09-30,419,0,419,81646833715.91,23524285596.800003,47170872473.840004,938349545.11,419,419,80708484170.8,1717290082.69,9011107114.92,1794521506.62,,8324.0,1.0460999828583049,167102009793.27835
2013-10-31,428,0,428,78563682492.29,23417631230.380005,43843607796.570015,1260218394.79,428,428,77303464097.5,1963547376.0299997,9522490708.14,1932485401.5100002,,8456.0,1.0520627527605972,159880577268.62
2013-11-30,430,0,430,83088917751.10002,24844793863.909996,46853778323.82001,1248058664.28,430,430,81840859086.82002,1869299116.41,9422809207.95,1760368663.52,,8534.0,1.0577438916255046,168181451822.65567
2013-12-31,430,0,430,84521499149.37,25794444959.019997,45476841386.83001,1523209318.87,430,430,82998289830.5,1796668706.93,10124736438.720001,1844119140.2300005,,9410.0,1.0674751354284593,169521561694.57962
2014-01-31,431,0,431,85879786096.91002,25681584347.1,41733145549.45001,1515016942.6200001,431,431,84364769154.29002,1780299820.98,9333180209.56,1471333059.18,,8713.0,1.0733462486733159,171303656144.43234
2014-02-28,430,0,430,80087063970.49998,25045012587.660004,44218509823.62999,1560722309.46,430,430,78526341661.03998,7181025384.780001,13572722296.329998,1572907477.3000002,,8681.0,1.0807523377891617,158654249798.61514
2014-03-31,435,0,435,82008316621.08003,24593945434.97,44225688619.07999,1589414213.7400002,435,435,80418902407.34003,7053066502.599999,13537548386.639996,1693206361.27,,8717.0,1.090695259296822,160979284489.3065
2014-04-30,436,0,436,76178864842.94,24212157226.260002,39800280175.85999,1716521767.22,436,436,74462343075.72,6810791203.91,13432598267.609999,1759221055.4099998,,10014.0,1.0980029175341106,148541061703.52414
2014-05-31,446,0,446,77467668384.68999,24188602298.839996,48837933438.04,1747980250.44,446,446,75719688134.24998,5711234595.71,12326903291.260002,1788641166.6,,11522.0,1.1030537309547674,150362430740.41193
2014-06-30,456,0,456,74995502202.04999,24984761584.21,44923167073.21001,1848481238.6399999,456,456,73147020963.40999,5527428010.59,12103503267.99,1837938436.02,,11054.0,1.1074659458785865,144984093637.31488
2014-07-31,458,0,458,76775602465.01999,24675031555.749996,46897416304.090004,1896548922.1999998,458,458,74879053542.81999,5479035934.09,12233105700.82,1632246240.1299999,,11100.0,1.1075766924731743,148410608599.57916
2014-08-31,462,0,462,73416048421.88,26253316191.620003,41925082438.34,2257761623.38,462,462,71158286798.5,3119065209.4700003,12127188559.32,1472157513.9899998,,10930.0,1.1103456342043572,141562536869.4784
2014-09-30,466,0,466,74721666110.22,25840545323.809998,33128400814.49,2227064880.26,466,466,72494601229.96,3035419740.3999996,12402088034.32,1631862540.8999999,,11112.0,1.116674604319322,143263457638.86948
2014-10-31,465,0,465,76742257500.18002,25400341141.690002,36285408176.24,2279023844.95,465,465,74463233655.23003,3034860895.07,12698356142.09,1426971875.9199998,,11362.0,1.1213646376574633,146522133926.57364
2014-11-30,472,0,472,75928450115.70999,26033438078.15001,35388503801.49999,2290358971.82,472,472,73638091143.88998,3159252208.3199997,12812542587.36,1434052377.1100001,,11420.0,1.1270835973095166,144232764096.90698
2014-12-31,477,0,477,76436831792.10997,27659808771.17,36422231947.079994,2244974629.5099998,477,477,74191857162.59998,3314449055.31,14006402451.74,1855362992.0299997,,11398.0,1.135874849368531,144074697133.5827
2015-01-31,476,0,476,71989010730.87,26119410443.180008,31925030325.5,2265885712.46,476,476,69723125018.40999,3314062227.32,13516993156.190002,1890541521.1100001,,11430.0,1.1499596975007007,134029101613.70882
2015-02-28,482,0,482,72980949615.88,26271258857.64,33150309648.010006,2306470056.3900003,482,482,70674479559.49,3315957576.7599998,12828912313.26,1455046620.9299998,,12081.0,1.1639892058102093,134238187016.82645
2015-03-31,488,0,488,73541905327.28,27157417582.670002,16609541393.769997,2318220956.85,488,488,71223684370.43,3311776672.6299996,13494853225.18,1457630698.6100001,,11991.0,1.179353863326904,133507684673.16998
2015-04-30,488,0,488,77509197773.28,26881673295.940002,15538683168.239996,2344199311.3199997,488,488,75164998461.95999,3439424768.6600003,10524956100.689999,1121468028.09,,11646.0,1.1877272757565251,139717894669.22696
2015-05-31,494,0,494,75124669704.16,27081212479.530003,33959364014.42,2359990295.28,494,494,72764679408.88,3600232115.88,10962090212.49,1476317430.9200003,,12257.0,1.1965164575971234,134424806502.42482
2015-06-30,504,0,504,78975222019.69,27449185213.510002,36295971402.31,2377409774.46,504,504,76597812245.23,4517917060.12,11637525089.390001,1254555772.2399998,,12360.0,1.2059689376121407,140207180104.84555
2015-07-31,509,0,509,77675112198.25002,26831739619.300003,35754892404.61,2362437271.04,509,509,75312674927.21002,4621799224.469999,11394639801.96,1478317366.2800002,,12732.0,1.213445945025336,137049348541.59096
2015-08-31,498,0,498,79218771470.27,28227590863.379997,33829481736.87999,2322111560.09,498,498,76896659910.18001,4609911365.62,12493201621.42,1464230373.8899999,,12380.0,1.2161155261043919,139466143136.31598
2015-09-30,516,0,516,84554671176.61,27252831154.82,37535729319.479996,2109837840.9799998,516,516,82444833335.63,7398506449.71,15288268925.75,1699407723.4,,11965.0,1.2226825499453557,148060568263.5398
2015-10-31,520,0,520,79922852859.86,27703346146.61,38706433666.31999,2123820354.5,520,520,77799032505.36,6079627713.47,12964369098.06,1617714511.7099996,,12190.0,1.2327085468549077,138811705935.4621
2015-11-30,519,0,519,84169050198.16998,28985962023.82,36906051954.70001,2182512821.28,519,519,81986537376.88998,6720557219.09,14496770134.05,1754547115.96,,12281.0,1.2451589031781423,144724870340.05188
2015-12-31,527,0,527,84691001574.42,30565473999.87,40295477194.23001,2025052205.1400003,527,527,82665949369.28,6653873004.330001,15845292888.51,1819232900.0199995,,12508.0,1.2571124286486526,144237660554.3663
2016-01-31,526,0,526,84317947022.02998,31042475896.480003,41343103904.41001,2061848819.5299997,526,526,82256098202.49998,6736238828.530001,17748185622.84,1523817069.1399999,,12198.0,1.2730777564924904,141801431336.77954
