CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,sinal_id,pilar,nome,severidade,peso,valor_observado,limiar,limiar_sentido,materialidade_regra,materialidade_rs,meses_consecutivos,persistencia_min_meses,persistencia_atendida,meses_com_disparo,ultimo_mes_disparo,tipo_evidencia
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),1666972490.26,13,3,True,13,2026-06-30,observado
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,1276051396.17,13,3,True,13,2026-06-30,derivado
05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,1666972490.26,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,QA-04,1. Qualidade do ativo,Inadimplência exatamente zero em carteira grande e concentrada,alta,6,1.0,1.0,>=,DC >= R$ 428 mi (p90 do mercado) e cedente máximo >= 50%,1276051396.17,13,3,True,13,2026-06-30,derivado
06182371000118,FOR-TE FIDC,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,859141390.79,13,3,True,13,2026-06-30,derivado
06182371000118,FOR-TE FIDC,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GV-05,4. Governança e conflitos,Auditor independente ou custodiante ausente no registro,média,3,1.0,1.0,>=,PL >= R$ 50 mi,977835561.91,13,3,True,13,2026-06-30,observado
06182371000118,FOR-TE FIDC,977835561.91,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,média,3,0.30079439658083484,0.01,>=,PL >= R$ 10 mi,294127457.8,13,2,True,13,2026-06-30,observado
07383363000100,RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,116288616.65,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PO-01,"8. PLD/FTP, lastro e movimentação",Giro anual da carteira no extremo do mercado,média,3,10.272319413990111,9.068093452089315,>=,carteira média 12m >= R$ 50 mi,1338474334.78,13,2,True,13,2026-06-30,derivado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),3140454721.87,13,3,True,13,2026-06-30,observado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,872942712.65,12,3,True,12,2026-06-30,observado
07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ES-03,2. Estrutura e subordinação,Colchão subordinado menor que a inadimplência líquida de provisão,crítica,10,1.0,1.0,>=,inadimplência líquida de provisão >= R$ 10 mi e sênior emitida,47882684.550000004,13,2,True,13,2026-06-30,derivado
