DENOM_SOCIAL,CNPJ,VL_PL,v_sub,v_tot,indice_subordinacao
FIDC DO SISTEMA PETROBRAS,09195235000150,61254971563.01,92850587.1217314,61254971563.45245,0.0015158049175739124
TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26287464000114,41496046291.59,41496046291.58866,41496046291.58866,1.0
PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,65473848000183,17971763062.82,,17971763062.811802,
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,10010957003.11,1555296816.2721717,10010957000.26428,0.15535945426906872
ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,36886028000115,8843985004.68,0.0,8843985004.62677,0.0
ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53286499000101,8719298749.48,0.0,8719298589.779188,0.0
ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53263761000100,8458862801.73,0.0,8458862801.72999,0.0
CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63953620000165,8253013228.5,218258069.85998884,8253013228.377402,0.026445864537030416
BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,52242420000188,8032044361.07,,8032044397.466474,
AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52610624000124,7350884666.57,870940250.8495744,7350884666.573701,0.11848101151824027
CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,26286939000158,6479950762.42,5452833865.316418,6479950569.116418,0.8414931267075925
RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,53216449000158,6390451812.87,0.0,6390451812.870517,0.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28169275000172,6234652185.61,3942647146.6958838,6233925629.525884,0.6324501415323651
BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50906397000153,6007175688.48,,6007175700.227133,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,29225241000110,5861437942.62,,5861437942.621857,
