arquivo,categoria,url,tamanho_bytes,sha256,last_modified_servidor,data_extracao_utc,fonte,nivel_fonte
cad_fi.csv,cadastro,https://dados.cvm.gov.br/dados/FI/CAD/DADOS/cad_fi.csv,17905705,0a6b185f2484cdb53fb760896af2a8c49423fd4c69b0f5f90275d5b5ab9f186a,"Mon, 17 Aug 2026 04:38:24 GMT",2026-08-17T19:26:00+00:00,CVM — Portal de Dados Abertos,1-primaria
registro_fundo_classe.zip,cadastro,https://dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip,6725027,d8b82714153f8603e7de725c007b5f365c7dce1466ca039430730c29f45b6d11,"Mon, 17 Aug 2026 04:34:45 GMT",2026-08-17T19:26:02+00:00,CVM — Portal de Dados Abertos,1-primaria
meta_inf_mensal_fidc_txt.zip,metadados,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/META/meta_inf_mensal_fidc_txt.zip,15942,79cee773503f63de6c21567095ebe8daf9983bd89ed91c5fc050dc0730155d76,"Sat, 15 Aug 2026 13:55:17 GMT",2026-08-17T19:26:03+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2013.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2013.zip,1639342,62073d3e345457483945ebeeadc803ac3c9057c07957369a55391a57122781ea,"Sat, 26 Sep 2020 02:25:23 GMT",2026-08-17T19:26:03+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2014.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2014.zip,1790825,5325fb4d826f8ed03104fa162c8bc1c3e8a182f3a4303c574c42bff0a71f4a4c,"Sat, 26 Sep 2020 02:32:08 GMT",2026-08-17T19:26:03+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2015.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2015.zip,1979376,008a1c053b25b0bfff08fed5342d95110f406fc449bbc485b62de04fc3f30a5c,"Sat, 26 Sep 2020 02:38:54 GMT",2026-08-17T19:26:04+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2016.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2016.zip,2165254,1bb3ed791e936459cc04cea0ba3be16aaf2941e65c5e5ec7c0818641d73fe5eb,"Sat, 26 Sep 2020 02:45:44 GMT",2026-08-17T19:26:04+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2017.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2017.zip,2487526,4d12980d6d8160c6cccdf0b8c3e9f59c49526208008ccbcc93fccd7c0ce14ab6,"Sat, 26 Sep 2020 02:52:25 GMT",2026-08-17T19:26:05+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2018.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2018.zip,3161137,3b3317c3ae728a2e1432a0fb920636517accd25ea35011db6d19df7b91bd7955,"Sat, 26 Sep 2020 02:59:19 GMT",2026-08-17T19:26:05+00:00,CVM — Portal de Dados Abertos,1-primaria
inf_mensal_fidc_2019.zip,inf_mensal_hist,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/HIST/inf_mensal_fidc_2019.zip,6416829,65de2c8ef8ce94777e73df81a35d4906422de3aab6e96b7b934bd1f68282b0ae,"Sun, 05 Apr 2026 16:36:13 GMT",2026-08-17T19:26:05+00:00,CVM — Portal de Dados Abertos,1-primaria
